n,delta,mean,std,q5,q95
10,0.04,0.4459682331220296,0.5983710041017696,0.019332091704269933,1.463421551040008
10,0.06,0.4093473374933544,0.48573068953553034,0.018226492920205298,1.3565903380760524
10,0.08,0.39777856251172217,0.43731847917928013,0.019923102449777335,1.28649243826085
10,0.1,0.3971460089255851,0.41818457833583866,0.022534816507770956,1.2786486738879872
10,0.12,0.4033417050296251,0.426979986062993,0.022544035483852767,1.2607622221814696
10,0.14,0.4102707143076553,0.42521270498962677,0.024135154311205245,1.2721497219022146
10,0.16,0.4176137092738514,0.42560981492425903,0.02355787010573863,1.2793430381922584
10,0.18,0.42558884397279334,0.42725461077117044,0.023042866030754644,1.2857442891010693
10,0.2,0.4339111487536169,0.4293007722844703,0.02383374369637991,1.2959192995924151
10,0.22,0.4432945027937239,0.43357462596935525,0.023840054779841937,1.310285975336086
10,0.24,0.45195085487220993,0.4371386354487776,0.025067860050199075,1.3155688893577622
10,0.26,0.46004720209759414,0.43959140309581785,0.025444559324424493,1.326995382256705
10,0.28,0.4680248867741072,0.4420303741892077,0.025321696643036577,1.3368973827537736
10,0.3,0.4759291543175094,0.4442747496155702,0.02551763046910423,1.346373305141589
10,0.32,0.48383056849807415,0.4465615663306693,0.02636433289284297,1.353310358048701
10,0.34,0.4912641917559892,0.4484797898349616,0.027673248552309758,1.3602551877013056
10,0.36,0.49845902250473834,0.4502346885269271,0.028867629068645095,1.369154877574876
10,0.38,0.5055613328016217,0.4516713062843356,0.029778339998626748,1.3749095068259043
10,0.4,0.512421181974598,0.45313989387313003,0.03098702558460985,1.380551378481732
10,0.42,0.5181984998742765,0.45461795513770986,0.033119862253260794,1.3876486722324313
10,0.44,0.5240996882293558,0.45619038580157506,0.03327132045399344,1.3937932622212943
10,0.46,0.529977738912773,0.45781545789273537,0.03473583668019234,1.4010376473081663
10,0.48,0.5356331021461965,0.4589105687527608,0.035977214321180756,1.404947234010909
10,0.5,0.5410164299695813,0.45986084394046467,0.03732017704997366,1.4080722274829787
20,0.0,0.6014815682064495,1.088525158664266,0.012375601093057916,3.084686389955814
20,0.02,0.32262357890911064,0.5124469037816768,0.011199732425551086,1.2285161192380316
20,0.04,0.25795110130646737,0.3626725159943712,0.00972095818676934,0.9404711226052372
20,0.06,0.24027188301293706,0.31106016961953986,0.0102294287783824,0.8773220343014433
20,0.08,0.23686718519330274,0.2902414769196508,0.009747207902922925,0.8529525408951205
20,0.1,0.23926542755081068,0.28211554764204644,0.010152273805450831,0.8458648303569367
20,0.12,0.24439284173070724,0.28029376079464235,0.010884093926086403,0.8583534697970402
20,0.14,0.25076961261605046,0.28147403624248374,0.01133712213726099,0.8682301183315281
20,0.16,0.2577224173941588,0.28421229981194296,0.011247220360321865,0.8757558887894124
20,0.18,0.2649404333594363,0.2876722443916553,0.011032396533171002,0.8814747779113854
20,0.2,0.27216325968715016,0.2914546616708104,0.011166278885386696,0.8938365604681482
20,0.22,0.27928252020521516,0.29538087896738385,0.011752793472003307,0.9064294777267211
20,0.24,0.28629579364335944,0.2993099742048783,0.012209268076006566,0.9179953216303854
20,0.26,0.2931349424436431,0.3031635837673345,0.012124471537498675,0.9239482199985333
20,0.28,0.2997463947212872,0.3069034502547379,0.011536082713302656,0.937455377328777
20,0.3,0.3061646066124681,0.3105096794626371,0.011934647141709028,0.9437551387353729
20,0.32,0.31235652602861075,0.31397526093332534,0.012216704082903722,0.9521212548551212
20,0.34,0.3182931639842143,0.3172678472595336,0.011853940215532821,0.9568861483869409
20,0.36,0.32399760847161513,0.3204097323304437,0.012763894312981193,0.9653328075047969
