beta_true,eta_true,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
7,1000,10,144,2.077646,286.382616,1659.118054,-4.922354,-713.617384,659.118054,0.924525
7,1000,10,145,2.921314,483.685788,1575.943196,-4.078686,-516.314212,575.943196,0.908163
7,1000,10,146,1.990622,209.270526,1791.522545,-5.009378,-790.729474,791.522545,0.914533
7,1000,10,147,2.654070,468.600722,1610.979889,-4.345930,-531.399278,610.979889,0.907042
7,1000,10,148,1.778716,330.473806,1653.700859,-5.221284,-669.526194,653.700859,0.917220
7,1000,10,149,5.057168,1028.241554,1006.605102,-1.942832,28.241554,6.605102,0.819518
7,1000,10,150,4.053008,359.687144,1702.864616,-2.946992,-640.312856,702.864616,0.912156
7,1000,10,151,2.685713,461.293668,1576.609058,-4.314287,-538.706332,576.609058,0.914810
7,1000,10,152,2.273753,368.932336,1639.789376,-4.726247,-631.067664,639.789376,0.827692
7,1000,10,153,5.768056,721.495969,1269.241258,-1.231944,-278.504031,269.241258,0.155303
7,1000,10,154,1.579219,256.890438,1734.514661,-5.420781,-743.109562,734.514661,0.952717
7,1000,10,155,3.345180,492.726120,1529.844320,-3.654820,-507.273880,529.844320,0.902048
7,1000,10,156,1.671457,399.247607,1544.973411,-5.328543,-600.752393,544.973411,0.956969
7,1000,10,157,2.911601,265.391385,1746.943748,-4.088399,-734.608615,746.943748,0.903640
7,1000,10,158,3.422920,394.981956,1598.475689,-3.577080,-605.018044,598.475689,0.910560
7,1000,10,159,4.162308,872.584009,1085.567516,-2.837692,-127.415991,85.567516,0.875707
7,1000,10,160,2.850869,591.710911,1376.742313,-4.149131,-408.289089,376.742313,0.930090
7,1000,10,161,2.100000,415.250991,1565.370063,-4.900000,-584.749009,565.370063,0.950204
7,1000,10,162,3.308373,533.998178,1455.555094,-3.691627,-466.001822,455.555094,0.903155
7,1000,10,163,5.831197,722.018427,1300.549158,-1.168803,-277.981573,300.549158,0.008366
7,1000,10,164,5.234713,981.197939,1046.375014,-1.765287,-18.802061,46.375014,0.697890
7,1000,10,165,3.381090,366.761358,1621.389790,-3.618910,-633.238642,621.389790,0.900019
7,1000,10,166,3.770326,367.667800,1586.092191,-3.229674,-632.332200,586.092191,0.882552
7,1000,10,167,2.564777,525.156368,1467.154392,-4.435223,-474.843632,467.154392,0.904633
7,1000,10,168,3.446874,474.258535,1540.618109,-3.553126,-525.741465,540.618109,0.902002
7,1000,10,169,5.284233,823.369805,1196.317239,-1.715767,-176.630195,196.317239,0.668016
7,1000,10,170,1.679848,263.596886,1563.628753,-5.320152,-736.403114,563.628753,0.941099
7,1000,10,171,1.738254,318.610756,1618.225582,-5.261746,-681.389244,618.225582,0.916959
7,1000,10,172,4.405881,778.725524,1228.692488,-2.594119,-221.274476,228.692488,0.867742
7,1000,10,173,2.239894,575.481784,1339.954607,-4.760106,-424.518216,339.954607,0.950153
7,1000,10,174,1.552813,231.545630,1724.900002,-5.447187,-768.454370,724.900002,0.860799
7,1000,10,175,2.472508,293.685681,1710.976910,-4.527492,-706.314319,710.976910,0.935378
7,1000,10,176,1.947252,364.667289,1553.749907,-5.052748,-635.332711,553.749907,0.956708
7,1000,10,177,4.900000,588.237127,1395.654554,-2.100000,-411.762873,395.654554,0.870779
7,1000,10,178,2.100000,443.798957,1545.422159,-4.900000,-556.201043,545.422159,0.925733
7,1000,10,179,4.998496,905.579214,1069.617342,-2.001504,-94.420786,69.617342,0.864924
7,1000,10,180,2.072442,396.396816,1582.141458,-4.927558,-603.603184,582.141458,0.898799
7,1000,10,181,4.305172,436.887875,1610.931425,-2.694828,-563.112125,610.931425,0.857666
7,1000,10,182,2.000000,248.033004,1659.329332,-5.000000,-751.966996,659.329332,0.937777
7,1000,10,183,4.362109,712.384622,1296.945309,-2.637891,-287.615378,296.945309,0.830430
7,1000,10,184,3.612315,651.702355,1385.425647,-3.387685,-348.297645,385.425647,0.890190
7,1000,10,185,2.750175,358.601328,1622.413316,-4.249825,-641.398672,622.413316,0.907139
7,1000,10,186,5.422247,827.444195,1226.234282,-1.577753,-172.555805,226.234282,0.532942
7,1000,10,187,4.154230,634.703847,1336.103864,-2.845770,-365.296153,336.103864,0.863104
7,1000,10,188,2.787296,359.313193,1631.026340,-4.212704,-640.686807,631.026340,0.916526
7,1000,10,189,3.742623,578.104399,1414.298412,-3.257377,-421.895601,414.298412,0.876435
7,1000,10,190,4.900000,1005.202934,1003.134554,-2.100000,5.202934,3.134554,0.864556
7,1000,10,191,5.179085,762.085043,1275.874895,-1.820915,-237.914957,275.874895,0.721239
7,1000,10,192,1.782926,457.253329,1470.066438,-5.217074,-542.746671,470.066438,0.873994
7,1000,10,193,3.354438,350.314629,1696.306126,-3.645562,-649.685371,696.306126,0.901688
7,1000,10,194,4.842003,803.551668,1133.121965,-2.157997,-196.448332,133.121965,0.853545
7,1000,10,195,5.256516,885.809000,1194.362619,-1.743484,-114.191000,194.362619,0.669891
7,1000,10,196,2.535506,303.688235,1785.108302,-4.464494,-696.311765,785.108302,0.918444
7,1000,10,197,3.070357,472.236305,1500.184805,-3.929643,-527.763695,500.184805,0.875460
7,1000,10,198,2.852678,394.855515,1490.210370,-4.147322,-605.144485,490.210370,0.805145
7,1000,10,199,2.312465,482.022008,1510.725991,-4.687535,-517.977992,510.725991,0.858313
7,1000,10,200,5.028875,794.112871,1240.339250,-1.971125,-205.887129,240.339250,0.834383
7,1000,10,201,3.359107,426.695869,1572.078555,-3.640893,-573.304131,572.078555,0.855716
7,1000,10,202,2.436001,515.648325,1347.485748,-4.563999,-484.351675,347.485748,0.924195
7,1000,10,203,1.429667,272.734321,1704.904031,-5.570333,-727.265679,704.904031,0.926200
7,1000,10,204,5.231972,636.520334,1329.684917,-1.768028,-363.479666,329.684917,0.594390
7,1000,10,205,5.000000,698.133691,1262.678520,-2.000000,-301.866309,262.678520,0.810452
7,1000,10,206,1.828400,436.827198,1500.955719,-5.171600,-563.172802,500.955719,0.911093
7,1000,10,207,4.231906,805.360683,1153.122861,-2.768094,-194.639317,153.122861,0.904374
7,1000,10,208,2.021287,312.709973,1567.123490,-4.978713,-687.290027,567.123490,0.950541
7,1000,10,209,2.686538,362.849262,1618.216257,-4.313462,-637.150738,618.216257,0.915058
7,1000,10,210,2.231151,327.128572,1579.203183,-4.768849,-672.871428,579.203183,0.941498
7,1000,10,211,4.217745,833.601584,1158.059740,-2.782255,-166.398416,158.059740,0.863050
7,1000,10,212,5.093053,759.024101,1298.187029,-1.906947,-240.975899,298.187029,0.790473
7,1000,10,213,2.185254,289.064066,1645.297890,-4.814746,-710.935934,645.297890,0.884104
7,1000,10,214,2.889767,349.458969,1629.103326,-4.110233,-650.541031,629.103326,0.913900
7,1000,10,215,5.177362,1151.743106,802.895893,-1.822638,151.743106,-197.104107,0.741195
7,1000,10,216,3.043935,413.284437,1571.693921,-3.956065,-586.715563,571.693921,0.805151
7,1000,10,217,2.000000,226.493362,1740.323388,-5.000000,-773.506638,740.323388,0.883859
7,1000,10,218,5.097278,732.942216,1266.731057,-1.902722,-267.057784,266.731057,0.786566
7,1000,10,219,2.100000,418.500438,1532.168606,-4.900000,-581.499562,532.168606,0.929009
7,1000,10,220,5.000000,745.373214,1310.366970,-2.000000,-254.626786,310.366970,0.794029
7,1000,10,221,5.140950,762.204958,1177.296898,-1.859050,-237.795042,177.296898,0.751647
