n,fold,seed,mse_p,mse_q,mse_qp
10,4,17,0.029047623185994943,0.028296526056653934,0.02763519504778498
10,4,73,0.029831958904548383,0.02798303185623149,0.02750222289895492
10,4,314,0.03030718022720133,0.028188183077215274,0.027653599207913236
10,4,2718,0.02925464772723629,0.02796630046859662,0.027517890169652753
10,4,4099,0.030250821003464014,0.027741001701268548,0.0287236192814816
10,4,8128,0.029362826065453013,0.028273736441268328,0.027734821060265123
10,4,12011,0.029836244838087,0.028114495319915934,0.028593595105848954
10,5,42,0.03276115552126292,0.02886356133537215,0.029345469893732948
10,5,2026,0.034447708564635596,0.028532475260609706,0.029425084698310996
10,5,3407,0.03205819979626908,0.028647407678218162,0.028565099000300295
10,5,17,0.03116087836468953,0.02875403471294963,0.02854735359005156
10,5,73,0.033065850752282216,0.028615779200245304,0.028283061634995093
10,5,314,0.03142322997348264,0.028792569336785968,0.028968224543216514
10,5,2718,0.032739156916249686,0.028582415889912945,0.028844039520308052
10,5,4099,0.03300239286581884,0.028499030811635986,0.030041123120677506
10,5,8128,0.031840178054176285,0.02870819733805907,0.0291894908405677
10,5,12011,0.03239902426470849,0.028951639945891318,0.028660803294898715
15,1,42,0.023026498458641728,0.020205587945767392,0.020146145826478612
15,1,2026,0.02300197359071921,0.02034411843363029,0.019810933423927275
15,1,3407,0.022800508615018266,0.020456515757322987,0.02006020932988169
15,1,17,0.0215395857957642,0.02030287340836415,0.020993060121900064
15,1,73,0.02222539144700299,0.02035169714304944,0.020419209362085824
15,1,314,0.02246113958869553,0.020656671791161506,0.02025672524021726
15,1,2718,0.02258506181808356,0.020283556896949474,0.019689951794244796
15,1,4099,0.02322946494390329,0.020369319570312946,0.01973429548318803
15,1,8128,0.02275838036518429,0.020193154076555083,0.02016148421447991
15,1,12011,0.022025966333663778,0.02037409323669915,0.02016557248886712
15,2,42,0.019059527651935533,0.0187695428504968,0.018718453752828587
15,2,2026,0.018816567799119197,0.019051819150425014,0.01832860962229498
15,2,3407,0.018981541738248512,0.018934370498128537,0.018347598802269185
15,2,17,0.018608409664906938,0.01905225695796639,0.018427354985033468
15,2,73,0.018835412346314907,0.018746422839235104,0.018069421634229327
15,2,314,0.018844834181763713,0.018770712191684205,0.018369495242409568
15,2,2718,0.018424158087417975,0.01877633131255865,0.01850438939755955
15,2,4099,0.01905140848638419,0.018781125428520323,0.01816377933067267
15,2,8128,0.01926538953891409,0.018798629653903554,0.018482509515086926
15,2,12011,0.0194368952810621,0.018695272463953173,0.018488038589704565
15,3,42,0.023861001158553333,0.022581199076843077,0.02267050879788227
15,3,2026,0.024083396818105177,0.02270376766683306,0.022686035131081837
15,3,3407,0.025180336288783644,0.02273136030254743,0.02307278493290637
15,3,17,0.024514555880546282,0.02241833727723733,0.02271628308166015
15,3,73,0.024561166163132944,0.02247576965301193,0.023380304252166764
15,3,314,0.024374578238427022,0.022576793656013498,0.02265369447679046
15,3,2718,0.02447534259228622,0.022500558416338034,0.022874940445104033
15,3,4099,0.024380279476115815,0.022734482590911678,0.022742316597792193
15,3,8128,0.0243507496811053,0.02256106175224333,0.02271630988570973
15,3,12011,0.02430447928824892,0.022462313407956343,0.02320938896236538
15,4,42,0.018228982562168216,0.01793104005283905,0.017434746229499535
15,4,2026,0.01794361292379931,0.017969636074011686,0.017432611576202992
15,4,3407,0.018873628744163564,0.01807738917771141,0.017159373759888588
15,4,17,0.018863437745312826,0.018004473878647582,0.017691116478340825
15,4,73,0.019071116717118454,0.018117975323275495,0.01732070412147545
15,4,314,0.01911550605939401,0.017937257067766454,0.017255519498758125
15,4,2718,0.017779979113238312,0.017892413698912844,0.017243812275115785
15,4,4099,0.019206875654126127,0.017987632938029838,0.017388072770537343
15,4,8128,0.018565716710515937,0.018167749840019728,0.017348363349939253
15,4,12011,0.018736126248324478,0.01784122226779534,0.01731441894023353
15,5,42,0.0196712044787322,0.018882859242386935,0.018377829512981888
15,5,2026,0.01945468711944161,0.01874544702121657,0.01910775844598349
15,5,3407,0.019793123140567144,0.019196161292638236,0.01857726292509599
15,5,17,0.01915312622797641,0.018950007747579316,0.019090069772554567
