model,split,J1,failure_rate,n_samples,J1_n7,fail_n7,J1_n10,fail_n10,J1_n20,fail_n20
Default,combo_combo_fold_3,0.6544631805526647,0.0,9000,0.7957309659128131,0.0,0.6737494334627311,0.0,0.4447921929322052,0.0
L1,combo_combo_fold_3,0.6536386486080771,0.0,9000,0.7842095759339127,0.0,0.6820108542187602,0.0,0.44900666432017433,0.0
L2,combo_combo_fold_3,0.6554217608552576,0.0,9000,0.7957309659128131,0.0,0.6737494334627311,0.0,0.44900666432017433,0.0
L3-oracle,combo_combo_fold_3,0.5927622197485835,0.0,9000,0.7286769962004749,0.0,0.5909997398277903,0.0,0.416953582806937,0.0
L4-oracle,combo_combo_fold_3,0.594140042740865,0.0,9000,0.7395997516928572,0.0,0.5888851450680672,0.0,0.4064648378130339,0.0
L5-oracle,combo_combo_fold_3,0.5755175745586156,0.0,9000,0.7184642388447726,0.0,0.5589470869175661,0.0,0.40626189509362476,0.0
L6-hindsight,combo_combo_fold_3,0.5056302220932992,0.0,9000,0.6355505246415699,0.0,0.500050982174565,0.0,0.336170061630175,0.0
NN-RC-L6,combo_combo_fold_4,0.6014943760968443,0.0,9000,0.7030397181965397,0.0,0.6508120700795123,0.0,0.40934735556168717,0.0
NN-RC-L4,combo_combo_fold_4,0.6209526908647875,0.0,9000,0.7027147770741784,0.0,0.652829922406713,0.0,0.4865714411766211,0.0
NN-RC-L5,combo_combo_fold_4,0.6201343124675488,0.0,9000,0.7211163707050687,0.0,0.6700097065311206,0.0,0.4298579643952517,0.0
Tabular-L6,combo_combo_fold_4,0.5696218195347601,0.0,9000,0.6576466921257274,0.0,0.6074392787743988,0.0,0.41463888241263513,0.0
Default,combo_combo_fold_4,0.6475854928101361,0.0,9000,0.7096941951888706,0.0,0.7026662520117973,0.0,0.5105831950753525,0.0
L1,combo_combo_fold_4,0.6450484381386011,0.0,9000,0.7135642183833756,0.0,0.6917667001766432,0.0,0.5104384403674813,0.0
L2,combo_combo_fold_4,0.6475474535522144,0.0,9000,0.7096941951888706,0.0,0.7026662520117973,0.0,0.5104384403674813,0.0
L3-oracle,combo_combo_fold_4,0.5931751557433025,0.0,9000,0.6759553979417832,0.0,0.6351914031297415,0.0,0.4417991371163022,0.0
L4-oracle,combo_combo_fold_4,0.5916733987248755,0.0,9000,0.6753756725470846,0.0,0.6351914031297415,0.0,0.43661403389902553,0.0
L5-oracle,combo_combo_fold_4,0.5760427510640098,0.0,9000,0.6659336780551112,0.0,0.6245033192035531,0.0,0.402496824702898,0.0
L6-hindsight,combo_combo_fold_4,0.5032078922586178,0.0,9000,0.5780113091494214,0.0,0.5431334334859035,0.0,0.36133578347469003,0.0
NN-RC-L6,combo_combo_fold_5,0.6011401066167502,0.0,9000,0.6847982523661309,0.0,0.5947824277299817,0.0,0.5112665650807957,0.0
NN-RC-L4,combo_combo_fold_5,0.6014893913005752,0.0,9000,0.7049867675142287,0.0,0.5875402651095488,0.0,0.4931111011184491,0.0
NN-RC-L5,combo_combo_fold_5,0.6232677577214766,0.0,9000,0.7121354065825246,0.0,0.6084692823347291,0.0,0.5366715835518717,0.0
Tabular-L6,combo_combo_fold_5,0.5625887915211897,0.0,9000,0.6724545741415494,0.0,0.5449957441389613,0.0,0.4475521529635906,0.0
Default,combo_combo_fold_5,0.6335539415490719,0.0,9000,0.7197780432447931,0.0,0.6149455377031249,0.0,0.5549174214951316,0.0
L1,combo_combo_fold_5,0.6295782369676304,0.0,9000,0.7141672576393285,0.0,0.6183876229987293,0.0,0.544672511907579,0.0
L2,combo_combo_fold_5,0.630583484059539,0.0,9000,0.7197780432447931,0.0,0.6149455377031249,0.0,0.544672511907579,0.0
L3-oracle,combo_combo_fold_5,0.5887294409167044,0.0,9000,0.6876979702185069,0.0,0.5728759332859673,0.0,0.4885608770924702,0.0
L4-oracle,combo_combo_fold_5,0.587307592878769,0.0,9000,0.6802411696714197,0.0,0.5732890076568782,0.0,0.4933581769293099,0.0
L5-oracle,combo_combo_fold_5,0.5754617621597619,0.0,9000,0.6761608759947194,0.0,0.5593115563689022,0.0,0.4727005096361808,0.0
L6-hindsight,combo_combo_fold_5,0.4986279246792846,0.0,9000,0.5943868982103949,0.0,0.48323311586200246,0.0,0.39884758088778366,0.0
NN-RC-L4,combo_holdout_pooled,0.6193592051643352,0.0,45000,0.7279602353638276,0.0,0.6166334894476485,0.0,0.4905655007091799,0.0
NN-RC-L5,combo_holdout_pooled,0.6097470977788907,0.0,45000,0.7227608300431844,0.0,0.6140293896749837,0.0,0.4647141712063388,0.0
NN-RC-L6,combo_holdout_pooled,0.590716022172058,0.0,45000,0.707579950962298,0.0,0.5928862879939796,0.0,0.44119464985111695,0.0
Tabular-L6,combo_holdout_pooled,0.5607464123202747,0.0,45000,0.6735254749710504,0.0,0.5651519154707226,0.0,0.41264556679428005,0.0
Default,combo_holdout_pooled,0.6332189473722903,0.0,45000,0.7392855016503717,0.0,0.6445203563841531,0.0,0.49086572826977504,0.0
L1,combo_holdout_pooled,0.6329130843027161,0.0,45000,0.7397329656280063,0.0,0.6451038118222847,0.0,0.488234706243098,0.0
L2,combo_holdout_pooled,0.6325405576256965,0.0,45000,0.7392855016503717,0.0,0.6445203563841531,0.0,0.488234706243098,0.0
L3-oracle,combo_holdout_pooled,0.5850675058410649,0.0,45000,0.6900093283848866,0.0,0.5921882107655605,0.0,0.4473390313234199,0.0
L4-oracle,combo_holdout_pooled,0.5820901089588821,0.0,45000,0.6859352395982693,0.0,0.5917592589011916,0.0,0.44249351568725515,0.0
L5-oracle,combo_holdout_pooled,0.5711703880260268,0.0,45000,0.6765806674670678,0.0,0.579700385422153,0.0,0.4299917441354318,0.0
L6-hindsight,combo_holdout_pooled,0.4945297307934268,0.0,45000,0.5911154523322776,0.0,0.5035816867208589,0.0,0.3614788662276667,0.0
