model,split,selected_delta,count,fraction
L6-hindsight,combo_holdout_pooled,0.12,937,0.02082222222222222
L6-hindsight,combo_holdout_pooled,0.14,818,0.01817777777777778
L6-hindsight,combo_holdout_pooled,0.16,734,0.01631111111111111
L6-hindsight,combo_holdout_pooled,0.18,658,0.014622222222222222
L6-hindsight,combo_holdout_pooled,0.2,548,0.012177777777777777
L6-hindsight,combo_holdout_pooled,0.22,521,0.011577777777777777
L6-hindsight,combo_holdout_pooled,0.24,506,0.011244444444444444
L6-hindsight,combo_holdout_pooled,0.26,447,0.009933333333333334
L6-hindsight,combo_holdout_pooled,0.28,424,0.009422222222222222
L6-hindsight,combo_holdout_pooled,0.3,373,0.008288888888888889
L6-hindsight,combo_holdout_pooled,0.32,350,0.0077777777777777776
L6-hindsight,combo_holdout_pooled,0.34,343,0.007622222222222222
L6-hindsight,combo_holdout_pooled,0.36,328,0.007288888888888889
L6-hindsight,combo_holdout_pooled,0.38,278,0.006177777777777778
L6-hindsight,combo_holdout_pooled,0.4,287,0.006377777777777777
L6-hindsight,combo_holdout_pooled,0.42,242,0.005377777777777778
L6-hindsight,combo_holdout_pooled,0.44,259,0.005755555555555555
L6-hindsight,combo_holdout_pooled,0.46,235,0.005222222222222222
L6-hindsight,combo_holdout_pooled,0.48,219,0.004866666666666667
L6-hindsight,combo_holdout_pooled,0.5,2958,0.06573333333333334
