contract,n,fold,seed,mse_P,mse_Q,mse_QD
continuous,7,1,8128,0.02820004241241096,0.02872256742088923,0.02782459185878377
continuous,7,1,12011,0.028393638330780638,0.028487699030975193,0.028103887475960068
continuous,7,2,42,0.026696103981225624,0.02710401956020398,0.026852383555672172
continuous,7,2,2026,0.026892502053965442,0.026839828792562616,0.026930116691998844
continuous,7,2,3407,0.027080741082699287,0.02692716976487871,0.026856291853763897
continuous,7,2,17,0.02690720593943994,0.026876078962393624,0.026566800655667883
continuous,7,2,73,0.027958396431368715,0.0270726752866917,0.026804760920488335
continuous,7,2,314,0.02676512924500829,0.026850775883755857,0.02663766828366607
continuous,7,2,2718,0.026653552535924926,0.026927686434516016,0.02690833204250012
continuous,7,2,4099,0.02714186132345765,0.026984530306032515,0.02698427145850657
continuous,7,2,8128,0.02671185620555418,0.027070661325798467,0.02661431528103157
continuous,7,2,12011,0.026979111900988423,0.026792654133129947,0.026814641089195027
continuous,7,3,42,0.02644570421777774,0.026527873556605564,0.02664680640719596
continuous,7,3,2026,0.026815083869594483,0.026422003676246374,0.026194118857460723
continuous,7,3,3407,0.027603092025404473,0.026807063411474003,0.026276071873189765
continuous,7,3,17,0.027013249322368545,0.026508936478307654,0.026369371174418732
continuous,7,3,73,0.02682520897826773,0.026835318707623373,0.0267497858463287
continuous,7,3,314,0.026791836323767165,0.026680658577842246,0.026323160957181912
continuous,7,3,2718,0.026822397704083893,0.02667948594395292,0.026432612697223638
continuous,7,3,4099,0.026956472252286937,0.026740437629763237,0.026682818779289904
continuous,7,3,8128,0.026561549080173243,0.026540574363667663,0.02631549749452745
continuous,7,3,12011,0.026658442172651477,0.026592780738760025,0.02631345726809822
continuous,7,4,42,0.02861993346069143,0.027703852777967768,0.027258454059357617
continuous,7,4,2026,0.028757844884923257,0.027753594810990705,0.027582601390239662
continuous,7,4,3407,0.027866453123719895,0.027566125981946996,0.027802716345209314
continuous,7,4,17,0.0276416838939684,0.027445409804104048,0.027929165024615895
continuous,7,4,73,0.028048418843335473,0.027450578480758672,0.027434578585513167
continuous,7,4,314,0.02774456735021539,0.02739471673483513,0.027487882031010588
continuous,7,4,2718,0.027555201434106422,0.027656196639969922,0.02773184755190152
continuous,7,4,4099,0.029481323916660526,0.027678791838475127,0.027277186889310273
continuous,7,4,8128,0.028080448324891816,0.027515907419580897,0.027577493582109085
continuous,7,4,12011,0.02780566414708759,0.027633833200427803,0.02760642883665024
continuous,7,5,42,0.026212408441457117,0.02722600573916079,0.026775400855515857
continuous,7,5,2026,0.02685828619749758,0.026854816385085585,0.026895728385043637
continuous,7,5,3407,0.02636926664873446,0.02710436810547966,0.027129301434615095
continuous,7,5,17,0.02638810651713696,0.027397763952354784,0.026841351778276224
continuous,7,5,73,0.026209165233785126,0.02742258726938549,0.027116806008361614
continuous,7,5,314,0.026226878221732763,0.02687351133238227,0.026594827991044415
continuous,7,5,2718,0.026854572377709652,0.027368842948721182,0.02678032832682261
continuous,7,5,4099,0.02630788317196588,0.027109105966726024,0.026811024894202357
continuous,7,5,8128,0.026028237427965027,0.027147670291439437,0.026616799315454447
continuous,7,5,12011,0.027041284271253373,0.027023006897384207,0.02658115990153857
continuous,10,1,42,0.021455080523758035,0.021548376942058828,0.020872287757125612
continuous,10,1,2026,0.021243410651218517,0.021655793422860253,0.021217103269153985
continuous,10,1,3407,0.021069355541760194,0.021662601908932728,0.021193939559611113
continuous,10,1,17,0.021039969897805422,0.02163994525089696,0.02127430816192132
continuous,10,1,73,0.021021784829273596,0.021561419084225496,0.021487789832108993
continuous,10,1,314,0.020967150980618854,0.021635761800193103,0.021319357245967303
continuous,10,1,2718,0.02133581217107297,0.021599626374272422,0.021293488429327746
continuous,10,1,4099,0.021182970691013006,0.0216992124632212,0.02176978446405894
continuous,10,1,8128,0.021276809527689452,0.021732719268025478,0.02106234161262886
continuous,10,1,12011,0.02192538974071804,0.021733549835156022,0.021199147553051585
continuous,10,2,42,0.020688088482718758,0.020681957607097578,0.020589639909971348
continuous,10,2,2026,0.020677437518708684,0.020539158395445043,0.02039586242612444
continuous,10,2,3407,0.020801472979194147,0.020585347026807418,0.0203752293416718
continuous,10,2,17,0.021132951630734434,0.020567682491788884,0.020278443514633787
continuous,10,2,73,0.02091654043779313,0.020538337262599803,0.020414846168998562
continuous,10,2,314,0.02089057820877876,0.02048098794028497,0.020489460530198192
continuous,10,2,2718,0.02081015593665983,0.020698611290283296,0.020496560131501525
continuous,10,2,4099,0.020839991247956748,0.02043300222654322,0.020454969761272934
continuous,10,2,8128,0.020877169152969378,0.020799758132651325,0.020467887858550724
continuous,10,2,12011,0.020861623308691995,0.020513445845933637,0.020296711457112326
continuous,10,3,42,0.02067850679587051,0.02007554184571888,0.019598570133626928
continuous,10,3,2026,0.019814349311167715,0.019865236330483035,0.01976023686000158
continuous,10,3,3407,0.02007421086617499,0.02001754077970381,0.01966826266338917
continuous,10,3,17,0.020633068352838915,0.01993109434741884,0.019773131991187312
continuous,10,3,73,0.02043921295487898,0.019945043259102315,0.019439571664507393
continuous,10,3,314,0.0198105862425048,0.019948380200888103,0.019601943146371818
continuous,10,3,2718,0.019899350282661533,0.019957582157931985,0.019620203188942465
