level,group,optimal_delta,composite,bias_beta,bias_gamma,bias_eta,sd_beta,sd_gamma,sd_eta
L4,beta=2.0_n=7_g=0.1,0.0,0.1748753839999997,-0.0132214599999997,0.075569094,-0.08608483,1.0621788922064164,0.2375786813434297,0.3211720746541273
L4,beta=2.0_n=7_g=0.5,0.06,0.0654081019999999,0.0080525019999999,0.022072858,-0.035282742,0.9469449453384574,0.3175640234583444,0.398325812870833
L4,beta=2.0_n=7_g=1.0,0.08,0.097010906,-0.0469091320000001,0.020253684,-0.0298480899999999,0.9194920326387362,0.3513823304766855,0.4482932202466954
L4,beta=2.5_n=10_g=0.1,0.0,0.1550539539999997,-0.0592294179999997,0.040949774,-0.054874762,0.9495238130642472,0.204797376781726,0.263165529482752
L4,beta=2.5_n=10_g=0.5,0.04,0.044640319999999595,-0.0017237199999997,0.013862448,-0.0290541519999999,1.0832227952886866,0.3215423879713964,0.3804420402148197
L4,beta=2.5_n=10_g=1.0,0.04,0.07312242000000001,0.056239144,-0.0122285340000001,-0.0046547419999999,1.1796119513556609,0.3811365739235914,0.4359656086834245
L4,beta=2.5_n=20_g=0.1,0.0,0.1651794479999997,-0.0760590259999998,0.0394529039999999,-0.049667518,0.6963345865740548,0.1716833578063585,0.2100982446515081
L4,beta=2.5_n=20_g=0.5,0.06,0.0662727019999996,-0.0206635039999998,0.0191582359999999,-0.0264509619999999,0.8307692338962434,0.2348468322316713,0.2715633342651894
L4,beta=2.5_n=20_g=1.0,0.06,0.0395822659999995,-0.0078166979999996,0.0111173419999999,-0.020648226,0.7677202517217415,0.2249180407546599,0.2653334288335037
L4,beta=2.5_n=7_g=0.1,0.0,0.3959588060000003,-0.1939789000000003,0.087999396,-0.11398051,1.148711256758476,0.2420359028335591,0.3086898871334122
L4,beta=2.5_n=7_g=0.5,0.02,0.1963495659999997,0.1678130259999997,-0.0214123039999999,0.0071242360000001,1.3998590110170654,0.4020182747251841,0.4490174803645825
L4,beta=2.5_n=7_g=1.0,0.04,0.1906888599999999,-0.1041493620000002,0.0362983759999999,-0.0502411219999998,1.2546813060892756,0.4185135364588117,0.4743745640795831
L4,beta=4.0_n=10_g=0.1,0.0,0.5991736480000001,-0.3988167860000002,0.09583821,-0.1045186519999999,1.622869286299084,0.2753131408523354,0.3105147533844563
L4,beta=4.0_n=10_g=0.5,0.02,0.45072077800000004,-0.3496274920000002,0.0450618139999999,-0.0560314719999999,1.6994755212129482,0.3998927920512753,0.4279604404679482
L4,beta=4.0_n=10_g=1.0,0.02,0.3545111039999994,-0.2695668779999995,0.0391429379999999,-0.045801288,1.85085165665591,0.461337975003414,0.4769137229982979
L4,beta=4.0_n=20_g=0.1,0.0,0.3549209699999998,-0.2340701799999998,0.057445644,-0.063405146,1.1790630712992034,0.2197608590307316,0.2404048326799785
L4,beta=4.0_n=20_g=0.5,0.02,0.0441010460000003,-0.0341653240000003,0.001690466,-0.008245256,1.5006772097485217,0.3394758706733893,0.3573559599942406
L4,beta=4.0_n=20_g=1.0,0.02,0.2115194000000001,-0.1705623900000001,0.0168606099999999,-0.0240964000000001,1.619446385073647,0.381092285444006,0.4004344811947185
L4,beta=4.0_n=7_g=0.1,0.0,0.8028931200000002,-0.5085066100000004,0.138606468,-0.1557800419999999,1.994924165712492,0.3062759832923443,0.3396993881177465
L4,beta=4.0_n=7_g=0.5,0.0,0.7520675279999994,0.5766844019999997,-0.0927569899999999,0.0826261359999998,2.89475036750676,0.4784008598628109,0.5056727061387404
L4,beta=4.0_n=7_g=1.0,0.02,0.5816366519999997,-0.4226990599999998,0.07136392,-0.0875736719999999,1.9851407804672276,0.489326281537221,0.5184052634311602
