level,group,delta,jparam
L3,beta=2.5_n=10,0.38,0.6130091085272331
L3,beta=2.5_n=10,0.4,0.6182115428609883
L3,beta=2.5_n=10,0.42,0.623531211120484
L3,beta=2.5_n=10,0.44,0.6283668632300884
L3,beta=2.5_n=10,0.46,0.6333318319846734
L3,beta=2.5_n=10,0.48,0.638654059237265
L3,beta=2.5_n=10,0.5,0.6429450863008094
L3,beta=2.5_n=20,0.0,0.6947422429946063
L3,beta=2.5_n=20,0.02,0.5501390444871596
L3,beta=2.5_n=20,0.04,0.48648821435843503
L3,beta=2.5_n=20,0.06,0.44970654363619467
L3,beta=2.5_n=20,0.08,0.42737998383402376
L3,beta=2.5_n=20,0.1,0.41429415508325995
L3,beta=2.5_n=20,0.12,0.40731392981915465
L3,beta=2.5_n=20,0.14,0.40418115601995713
L3,beta=2.5_n=20,0.16,0.4036624369057225
L3,beta=2.5_n=20,0.18,0.4050609717724498
L3,beta=2.5_n=20,0.2,0.40752457174423456
L3,beta=2.5_n=20,0.22,0.4107792068992835
L3,beta=2.5_n=20,0.24,0.4146273120292426
L3,beta=2.5_n=20,0.26,0.41874307297131486
L3,beta=2.5_n=20,0.28,0.42314410047197065
L3,beta=2.5_n=20,0.3,0.427744815265448
L3,beta=2.5_n=20,0.32,0.43246405656961767
L3,beta=2.5_n=20,0.34,0.4373996345377131
L3,beta=2.5_n=20,0.36,0.44217035353575573
L3,beta=2.5_n=20,0.38,0.4469305126763581
L3,beta=2.5_n=20,0.4,0.4516571751157539
L3,beta=2.5_n=20,0.42,0.45644023741879663
L3,beta=2.5_n=20,0.44,0.4611735250984064
L3,beta=2.5_n=20,0.46,0.465704888940319
L3,beta=2.5_n=20,0.48,0.4702919870898132
L3,beta=2.5_n=20,0.5,0.47464572102990404
L3,beta=4.0_n=7,0.0,1.101213864750077
L3,beta=4.0_n=7,0.02,0.7874276309418665
L3,beta=4.0_n=7,0.04,0.7503461102003665
L3,beta=4.0_n=7,0.06,0.7617631762648033
L3,beta=4.0_n=7,0.08,0.7840211833537989
L3,beta=4.0_n=7,0.1,0.8058606221619077
L3,beta=4.0_n=7,0.12,0.8267918636694637
L3,beta=4.0_n=7,0.14,0.8455499576328868
L3,beta=4.0_n=7,0.16,0.8623833649823145
L3,beta=4.0_n=7,0.18,0.8770019100372011
L3,beta=4.0_n=7,0.2,0.8911384164117448
L3,beta=4.0_n=7,0.22,0.9027561103883274
L3,beta=4.0_n=7,0.24,0.9131223412850815
L3,beta=4.0_n=7,0.26,0.9230244757795175
L3,beta=4.0_n=7,0.28,0.9321104440589485
L3,beta=4.0_n=7,0.3,0.939965042440149
L3,beta=4.0_n=7,0.32,0.9474661536261016
L3,beta=4.0_n=7,0.34,0.954181195592192
L3,beta=4.0_n=7,0.36,0.9604405392998059
L3,beta=4.0_n=7,0.38,0.9666002237850279
L3,beta=4.0_n=7,0.4,0.9720360298268628
L3,beta=4.0_n=7,0.42,0.9770673261606735
L3,beta=4.0_n=7,0.44,0.981813092918519
L3,beta=4.0_n=7,0.46,0.9859875181006709
L3,beta=4.0_n=7,0.48,0.9897546390945825
L3,beta=4.0_n=7,0.5,0.993539439374093
L3,beta=4.0_n=10,0.0,0.9783131273702464
L3,beta=4.0_n=10,0.02,0.7178534417741608
L3,beta=4.0_n=10,0.04,0.6702420746117411
L3,beta=4.0_n=10,0.06,0.670530705029352
L3,beta=4.0_n=10,0.08,0.6849999771408447
L3,beta=4.0_n=10,0.1,0.704342214669813
L3,beta=4.0_n=10,0.12,0.7225867512947466
L3,beta=4.0_n=10,0.14,0.7400461744092839
L3,beta=4.0_n=10,0.16,0.7552257667378871
L3,beta=4.0_n=10,0.18,0.7699209676464607
L3,beta=4.0_n=10,0.2,0.7831624855483469
L3,beta=4.0_n=10,0.22,0.7957022890799433
L3,beta=4.0_n=10,0.24,0.8067790877542297
L3,beta=4.0_n=10,0.26,0.8171525057023238
L3,beta=4.0_n=10,0.28,0.8266866471740855
L3,beta=4.0_n=10,0.3,0.8355878604161914
L3,beta=4.0_n=10,0.32,0.8440140643750812
L3,beta=4.0_n=10,0.34,0.8516169972355349
L3,beta=4.0_n=10,0.36,0.8586419651071302
L3,beta=4.0_n=10,0.38,0.8653231157260093
L3,beta=4.0_n=10,0.4,0.8713758744234802
L3,beta=4.0_n=10,0.42,0.8772139667359925
L3,beta=4.0_n=10,0.44,0.882698062430165
L3,beta=4.0_n=10,0.46,0.8875820587997457
L3,beta=4.0_n=10,0.48,0.8921129229493485
L3,beta=4.0_n=10,0.5,0.8965119270524466
L3,beta=4.0_n=20,0.0,0.8082686915074454
L3,beta=4.0_n=20,0.02,0.5906200099713272
L3,beta=4.0_n=20,0.04,0.5360572780238753
L3,beta=4.0_n=20,0.06,0.5314879651829383
L3,beta=4.0_n=20,0.08,0.5422456497477363
L3,beta=4.0_n=20,0.1,0.5580190397985195
L3,beta=4.0_n=20,0.12,0.5748956874579109
