beta,n,gamma_eta,delta,bias_beta,sd_beta,bias_eta,sd_eta,bias_gamma,sd_gamma,n_valid
1.5,10,1.0,0.16,0.01011546799999996,0.532147708246597,-0.035806364000000035,0.3072678287788235,0.03016284200000019,0.1917244904058629,500
1.5,10,1.0,0.18,-0.013142339999999919,0.5095144951865598,-0.04480937600000001,0.3002583859649805,0.038149453999999805,0.18522030607046724,500
1.5,10,1.0,0.2,-0.03364492799999996,0.4904154070789289,-0.052819397999999906,0.29425916990507883,0.04519617600000014,0.17981008068083926,500
1.5,10,1.0,0.22,-0.05192520999999983,0.4741176430068202,-0.06004317199999998,0.28903592135385553,0.05149841800000021,0.17523552200389975,500
1.5,10,1.0,0.24,-0.0683609380000001,0.4601569741361685,-0.06663405800000011,0.28442613288841506,0.057200185999999986,0.1713197695482209,500
1.5,10,1.0,0.26,-0.08320095800000016,0.4483811650737686,-0.07271577399999996,0.2803188432215377,0.062415807999999906,0.1679471605854668,500
1.5,10,1.0,0.28,-0.09564724800000013,0.4445249375719941,-0.07853619,0.27677896909092636,0.06735215000000006,0.16527858976825482,500
1.5,10,1.0,0.3,-0.10816181800000013,0.43533110732467756,-0.08371537399999984,0.2733427592244195,0.07172175599999986,0.16255388782739116,500
1.5,10,1.0,0.32,-0.11970760000000014,0.42720053177627,-0.08858296399999999,0.2701792568435923,0.07579207200000004,0.16011333094577704,500
1.5,10,1.0,0.34,-0.13038573399999986,0.4200453884096953,-0.09318801399999999,0.26724515510252633,0.07960731199999982,0.15791065668626939,500
1.5,10,1.0,0.36,-0.13888526000000012,0.42010042256496116,-0.09791543000000003,0.26453623361094264,0.08344972000000017,0.15580049989259714,500
1.5,10,1.0,0.38,-0.14812782000000024,0.41458331046211094,-0.10203399999999996,0.2619748629516907,0.0868009999999999,0.15401520001826227,500
1.5,10,1.0,0.4,-0.1555495200000001,0.4143754633028753,-0.10639849400000001,0.25932898497779455,0.09026977199999986,0.15244526712117798,500
1.5,10,1.0,0.42,-0.16361415199999985,0.41015376010002064,-0.11014789599999997,0.25707739876954067,0.09326368799999996,0.1509480965110301,500
