beta,n,gamma_eta,delta,jparam,n_valid
5.0,20,0.1,0.5,0.8923951384474553,500
5.0,20,0.5,0.02,0.6406342761011757,500
5.0,20,0.5,0.04,0.607188069793137,500
5.0,20,0.5,0.06,0.6227227057786582,500
5.0,20,0.5,0.08,0.6489781806370108,500
5.0,20,0.5,0.12,0.6993829313905582,500
5.0,20,0.5,0.14,0.7208041076671103,500
5.0,20,0.5,0.16,0.7399527677982005,500
5.0,20,0.5,0.18,0.7570793581459139,500
5.0,20,0.5,0.22,0.786616817538021,500
5.0,20,0.5,0.24,0.799237751144904,500
5.0,20,0.5,0.26,0.8108884486629853,500
5.0,20,0.5,0.28,0.8217416695725073,500
5.0,20,0.5,0.32,0.8404027386326297,500
5.0,20,0.5,0.34,0.84825997949192,500
5.0,20,0.5,0.36,0.8557699173874048,500
5.0,20,0.5,0.38,0.8626396800126046,500
5.0,20,0.5,0.42,0.8748346209676406,500
5.0,20,0.5,0.44,0.8802853145468174,500
5.0,20,0.5,0.46,0.8853955180241658,500
5.0,20,0.5,0.48,0.8899896748754155,500
5.0,20,1.0,0.02,0.6610097806467391,500
5.0,20,1.0,0.04,0.5875631320218979,500
5.0,20,1.0,0.06,0.605624864950701,500
5.0,20,1.0,0.08,0.6351394006990035,500
5.0,20,1.0,0.12,0.6891626053272226,500
5.0,20,1.0,0.14,0.7116345186454512,500
5.0,20,1.0,0.16,0.7314907720666044,500
5.0,20,1.0,0.18,0.7491760275959352,500
5.0,20,1.0,0.22,0.7796155232721399,500
5.0,20,1.0,0.24,0.7925715759026429,500
5.0,20,1.0,0.26,0.804541239527932,500
5.0,20,1.0,0.28,0.8154083544873968,500
5.0,20,1.0,0.32,0.8348292075777027,500
5.0,20,1.0,0.34,0.8435200485159344,500
5.0,20,1.0,0.36,0.8515506001002239,500
5.0,20,1.0,0.38,0.8588037930781679,500
5.0,20,1.0,0.42,0.8717360973118259,500
5.0,20,1.0,0.44,0.8774345719839323,500
5.0,20,1.0,0.46,0.8826832096090551,500
5.0,20,1.0,0.48,0.8875077592580416,500
