beta,n,gamma_eta,delta,jparam,n_valid
1.5,20,0.5,0.14,0.38079603324006117,500
1.5,20,0.5,0.16,0.3699533721433229,500
1.5,20,0.5,0.18,0.36087607783616527,500
1.5,20,0.5,0.2,0.35318545143767777,500
1.5,20,0.5,0.22,0.34661134686055634,500
1.5,20,0.5,0.24,0.34095429625787255,500
1.5,20,0.5,0.26,0.3360626771671621,500
1.5,20,0.5,0.28,0.331818642658337,500
1.5,20,0.5,0.3,0.3281287381845258,500
1.5,20,0.5,0.32,0.3249178567002726,500
1.5,20,0.5,0.34,0.3221248031240835,500
1.5,20,0.5,0.36,0.3196993034091997,500
1.5,20,0.5,0.38,0.3175996905298576,500
1.5,20,0.5,0.4,0.31579167781189516,500
1.5,20,0.5,0.42,0.31424704531504477,500
1.5,20,0.5,0.44,0.31294322812076775,500
1.5,20,0.5,0.46,0.3118453051676014,500
1.5,20,0.5,0.48,0.3109056170614127,500
1.5,20,0.5,0.5,0.3101163628510136,500
1.5,20,1.0,0.0,0.707165931295102,500
1.5,20,1.0,0.02,0.5663613247028375,500
1.5,20,1.0,0.04,0.5012145888036559,500
1.5,20,1.0,0.06,0.461865954446966,500
1.5,20,1.0,0.08,0.43507383467742167,500
1.5,20,1.0,0.1,0.41513706584189836,500
1.5,20,1.0,0.12,0.3995543264912556,500
1.5,20,1.0,0.14,0.38699046334416765,500
1.5,20,1.0,0.16,0.37664353588540567,500
1.5,20,1.0,0.18,0.3679917753526405,500
1.5,20,1.0,0.2,0.36067600808365885,500
1.5,20,1.0,0.22,0.35443778512529517,500
1.5,20,1.0,0.24,0.3490848056846365,500
1.5,20,1.0,0.26,0.344470346176312,500
1.5,20,1.0,0.28,0.3404796538553026,500
1.5,20,1.0,0.3,0.33702148579632923,500
1.5,20,1.0,0.32,0.33402207261861805,500
1.5,20,1.0,0.34,0.3314211236380771,500
1.5,20,1.0,0.36,0.3291687442717367,500
1.5,20,1.0,0.38,0.32722339855704796,500
1.5,20,1.0,0.4,0.3255501154495708,500
1.5,20,1.0,0.42,0.3241193984622488,500
1.5,20,1.0,0.44,0.32290643118679924,500
1.5,20,1.0,0.46,0.32189016109683094,500
1.5,20,1.0,0.48,0.3210532359532045,500
1.5,20,1.0,0.5,0.32038169742122874,500
2.0,7,0.1,0.0,0.6737453647645503,500
2.0,7,0.1,0.02,0.6272087570780481,500
2.0,7,0.1,0.04,0.609513100248288,500
2.0,7,0.1,0.06,0.5984675703012249,500
2.0,7,0.1,0.08,0.5931659015280265,500
2.0,7,0.1,0.1,0.5916093291337232,500
2.0,7,0.1,0.12,0.5921379930428388,500
2.0,7,0.1,0.14,0.5932575407973716,500
2.0,7,0.1,0.16,0.611317090575032,500
2.0,7,0.1,0.18,0.6234064271700601,500
2.0,7,0.1,0.2,0.6256469915508514,500
2.0,7,0.1,0.22,0.628055597351158,500
2.0,7,0.1,0.24,0.6306010468322262,500
2.0,7,0.1,0.26,0.6370645415637367,500
2.0,7,0.1,0.28,0.6449716961084525,500
2.0,7,0.1,0.3,0.653390788755212,500
2.0,7,0.1,0.32,0.6596882659002345,500
2.0,7,0.1,0.34,0.6643572206458946,500
2.0,7,0.1,0.36,0.6726830666762078,500
