beta,n,gamma_eta,method,mean_loss,n_valid,J_param
1.5,20,1.0,wmle,0.1421045821574529,500,0.3769676142024045
2.0,7,0.1,dual,0.415977594650754,500,0.6449632506203389
2.0,7,0.1,lmom,0.4145770896670801,209,0.643876610591719
2.0,7,0.1,mdm0,0.41837407563039897,500,0.6468184255495502
2.0,7,0.1,oracle,0.351954509712945,500,0.5932575407973716
2.0,7,0.1,wmle,0.39113825223997495,500,0.6254104670054499
2.0,7,0.5,dual,0.546840103200347,500,0.7394863779680779
2.0,7,0.5,lmom,0.5271281966198782,78,0.7260359471953701
2.0,7,0.5,mdm0,0.6143082201496155,500,0.7837781702430959
2.0,7,0.5,oracle,0.3785867172241855,500,0.6152940087666916
2.0,7,0.5,wmle,0.4756949492295065,500,0.689706422494025
2.0,7,1.0,dual,0.8977400311416285,500,0.9474914411970319
2.0,7,1.0,lmom,0.5425771313294773,11,0.7365983514300567
2.0,7,1.0,mdm0,1.218690227032987,500,1.1039430361359173
2.0,7,1.0,oracle,0.421896988706046,500,0.6495359795315776
2.0,7,1.0,wmle,0.6795412598041355,500,0.8243429260957696
2.0,10,0.1,dual,0.2601247475855195,500,0.5100242617616534
2.0,10,0.1,lmom,0.2903350733254981,264,0.538827498672347
2.0,10,0.1,mdm0,0.253310961611235,500,0.5033000711416947
2.0,10,0.1,oracle,0.23057744216701248,500,0.4801848000166316
2.0,10,0.1,wmle,0.24943030039994948,500,0.4994299754719869
2.0,10,0.5,dual,0.350667660743368,500,0.5921719857806244
2.0,10,0.5,lmom,0.3270679192738806,111,0.5718985218322221
2.0,10,0.5,mdm0,0.37755087193062004,500,0.6144516839676005
2.0,10,0.5,oracle,0.242259393348146,500,0.49219853042054684
2.0,10,0.5,wmle,0.31286066481707897,500,0.5593394897708179
2.0,10,1.0,dual,0.500207903586759,500,0.7072537759437973
2.0,10,1.0,lmom,0.3898341306859808,26,0.6243669839813607
2.0,10,1.0,mdm0,0.60382420398324,500,0.7770612614094464
2.0,10,1.0,oracle,0.2553918120632165,500,0.5053630497604831
2.0,10,1.0,wmle,0.413296343201377,500,0.6428812823541972
2.0,20,0.1,dual,0.1467213439932495,500,0.3830422222069644
2.0,20,0.1,lmom,0.14577780096760054,383,0.3818085920557584
2.0,20,0.1,mdm0,0.1438123673037515,500,0.3792260108480845
2.0,20,0.1,oracle,0.128568645635423,500,0.35856470216046504
2.0,20,0.1,wmle,0.1397393809040725,500,0.3738173095297655
2.0,20,0.5,dual,0.19400429602459,500,0.4404591876946035
2.0,20,0.5,lmom,0.15333816121136498,250,0.3915841687445561
2.0,20,0.5,mdm0,0.2188834651239445,500,0.46784983180925105
2.0,20,0.5,oracle,0.12326408483332349,500,0.35108985293415057
2.0,20,0.5,wmle,0.17357786351592652,500,0.4166267676421266
2.0,20,1.0,dual,0.2375538642046815,500,0.4873949776153643
2.0,20,1.0,lmom,0.1707598002061519,79,0.41323092842398895
2.0,20,1.0,mdm0,0.303764697763582,500,0.5511485260468199
2.0,20,1.0,oracle,0.1164853049608735,500,0.34129943592229023
2.0,20,1.0,wmle,0.214707120222813,500,0.46336499676045123
2.5,7,0.1,dual,0.4218538717418313,500,0.6495027880939629
2.5,7,0.1,lmom,0.564681424360653,137,0.7514528756752835
2.5,7,0.1,mdm0,0.4105269862834771,500,0.6407237987490999
2.5,7,0.1,oracle,0.3840524405252917,500,0.6197196467155868
2.5,7,0.1,wmle,0.4440708700217991,500,0.6663864269489581
2.5,7,0.5,dual,0.596181010383324,500,0.7721275868555171
2.5,7,0.5,lmom,0.557907299793472,15,0.7469319244706789
2.5,7,0.5,mdm0,0.6542909594522619,500,0.8088825374875278
