model,beta,gamma_over_eta,n,selected_loss,oracle_min_loss,regret,rel_regret,near_0.01,near_0.02,near_0.05
Vector-MLP-L6,1.5,0.1,7,0.28108055884166977,0.19457516517430873,0.08650539366736104,0.44458599631595236,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.7813897190231722,0.7812839929493429,0.00010572607382930421,0.00013532348644465226,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.23426830638603388,0.23426830638603388,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.10411916020114872,0.001397530428427049,0.10272162977272167,73.5022491698711,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.143691080180814,0.03304681510285378,0.11064426507796021,3.3481067610780273,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.05745662770963357,0.05745662770963357,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.06543665741385367,0.06543665741385367,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.19812677533461598,0.19812677533461598,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.10220745106534074,0.07838856107680539,0.023818889988535347,0.30385670640385287,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.21002369826743633,0.024614797391388034,0.1854089008760483,7.532416291223149,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.059249783235361786,0.058226034140454505,0.0010237490949072808,0.017582325673044536,0,1,1
Vector-MLP-L6,1.5,0.1,7,0.243912765661703,0.23877728530076592,0.005135480360937084,0.02150740743395415,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.0497336494474677,0.00793433615388155,0.041799313293586146,5.268155077238256,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.3894721761279463,0.3894721761279463,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,2.100029794057538,1.8459540436774684,0.2540757503800697,0.13763926098284965,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.025649889186834415,0.025128205208525232,0.0005216839783091821,0.02076089294798463,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.2545136591241671,0.14994874787073614,0.10456491125343098,0.697337675294038,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.24229866467246491,0.24075397244551164,0.001544692226953276,0.006416061223259262,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.27266243636308646,0.2661429721591377,0.006519464203948777,0.024496097533811732,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.6235771510236904,0.19862924740595655,0.4249479036177338,2.139402475554012,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.009199508660484926,0.009199508660484926,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.15225441977085505,0.02022968198737833,0.13202473778347673,6.526288345306138,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.05557961633390099,0.04325296497527932,0.012326651358621668,0.28498974268392485,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.0543246168549282,0.0543246168549282,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.3884850624845039,0.379050897537305,0.009434164947198898,0.024888913358318634,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.03269000475673148,0.019649332299043164,0.013040672457688314,0.6636700046201233,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.01677329117065785,0.01677329117065785,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.1925098171652198,0.1905154286953373,0.0019943884698825076,0.010468382973180788,0,1,1
Vector-MLP-L6,1.5,0.1,7,0.228317666698796,0.19528180995665498,0.03303585674214102,0.1691701687395959,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.0578410692237597,0.056581960849212166,0.0012591083745475337,0.02225282326116249,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.03383900805442884,0.023925166617993585,0.009913841436435256,0.4143687521481784,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.04334142598727249,0.00220740785613165,0.041134018131140836,18.63453462706513,0,0,0
