model,category,P_delta_0,P_delta_0.5,P_extreme,n_samples
Vector-MLP-L5,b=5.0_g=0.1_n=20,0.915,0.0,0.916,1000
Vector-MLP-L5,b=5.0_g=0.5_n=7,0.0,0.0,0.006,1000
Vector-MLP-L5,b=5.0_g=0.5_n=10,0.0,0.0,0.0,1000
Vector-MLP-L5,b=5.0_g=0.5_n=20,0.0,0.0,0.001,1000
Vector-MLP-L5,b=5.0_g=1.0_n=7,0.0,0.0,0.0,1000
Vector-MLP-L5,b=5.0_g=1.0_n=10,0.0,0.0,0.0,1000
Vector-MLP-L5,b=5.0_g=1.0_n=20,0.0,0.0,0.0,1000
Vector-MLP-L4,pooled,0.0,0.014533333333333334,0.041133333333333334,45000
Vector-MLP-L4,n=7,0.0,0.0,0.036533333333333334,15000
Vector-MLP-L4,n=10,0.0,0.0007333333333333333,0.0246,15000
Vector-MLP-L4,n=20,0.0,0.042866666666666664,0.062266666666666665,15000
Vector-MLP-L4,b=1.5_g=0.1_n=7,0.0,0.0,0.0,1000
Vector-MLP-L4,b=1.5_g=0.1_n=10,0.0,0.001,0.001,1000
Vector-MLP-L4,b=1.5_g=0.1_n=20,0.0,0.621,0.622,1000
Vector-MLP-L4,b=1.5_g=0.5_n=7,0.0,0.0,0.003,1000
Vector-MLP-L4,b=1.5_g=0.5_n=10,0.0,0.0,0.022,1000
Vector-MLP-L4,b=1.5_g=0.5_n=20,0.0,0.022,0.022,1000
Vector-MLP-L4,b=1.5_g=1.0_n=7,0.0,0.0,0.0,1000
Vector-MLP-L4,b=1.5_g=1.0_n=10,0.0,0.01,0.01,1000
Vector-MLP-L4,b=1.5_g=1.0_n=20,0.0,0.0,0.003,1000
Vector-MLP-L4,b=2.0_g=0.1_n=7,0.0,0.0,0.0,1000
Vector-MLP-L4,b=2.0_g=0.1_n=10,0.0,0.0,0.0,1000
Vector-MLP-L4,b=2.0_g=0.1_n=20,0.0,0.0,0.005,1000
Vector-MLP-L4,b=2.0_g=0.5_n=7,0.0,0.0,0.011,1000
Vector-MLP-L4,b=2.0_g=0.5_n=10,0.0,0.0,0.002,1000
Vector-MLP-L4,b=2.0_g=0.5_n=20,0.0,0.0,0.084,1000
Vector-MLP-L4,b=2.0_g=1.0_n=7,0.0,0.0,0.0,1000
Vector-MLP-L4,b=2.0_g=1.0_n=10,0.0,0.0,0.0,1000
Vector-MLP-L4,b=2.0_g=1.0_n=20,0.0,0.0,0.009,1000
Vector-MLP-L4,b=2.5_g=0.1_n=7,0.0,0.0,0.039,1000
Vector-MLP-L4,b=2.5_g=0.1_n=10,0.0,0.0,0.0,1000
Vector-MLP-L4,b=2.5_g=0.1_n=20,0.0,0.0,0.003,1000
Vector-MLP-L4,b=2.5_g=0.5_n=7,0.0,0.0,0.0,1000
Vector-MLP-L4,b=2.5_g=0.5_n=10,0.0,0.0,0.0,1000
Vector-MLP-L4,b=2.5_g=0.5_n=20,0.0,0.0,0.002,1000
Vector-MLP-L4,b=2.5_g=1.0_n=7,0.0,0.0,0.001,1000
Vector-MLP-L4,b=2.5_g=1.0_n=10,0.0,0.0,0.0,1000
Vector-MLP-L4,b=2.5_g=1.0_n=20,0.0,0.0,0.0,1000
Vector-MLP-L4,b=4.0_g=0.1_n=7,0.0,0.0,0.299,1000
Vector-MLP-L4,b=4.0_g=0.1_n=10,0.0,0.0,0.313,1000
Vector-MLP-L4,b=4.0_g=0.1_n=20,0.0,0.0,0.184,1000
Vector-MLP-L4,b=4.0_g=0.5_n=7,0.0,0.0,0.058,1000
Vector-MLP-L4,b=4.0_g=0.5_n=10,0.0,0.0,0.011,1000
Vector-MLP-L4,b=4.0_g=0.5_n=20,0.0,0.0,0.0,1000
Vector-MLP-L4,b=4.0_g=1.0_n=7,0.0,0.0,0.137,1000
Vector-MLP-L4,b=4.0_g=1.0_n=10,0.0,0.0,0.01,1000
Vector-MLP-L4,b=4.0_g=1.0_n=20,0.0,0.0,0.0,1000
Vector-MLP-L4,b=5.0_g=0.1_n=7,0.0,0.0,0.0,1000
Vector-MLP-L4,b=5.0_g=0.1_n=10,0.0,0.0,0.0,1000
Vector-MLP-L4,b=5.0_g=0.1_n=20,0.0,0.0,0.0,1000
Vector-MLP-L4,b=5.0_g=0.5_n=7,0.0,0.0,0.0,1000
Vector-MLP-L4,b=5.0_g=0.5_n=10,0.0,0.0,0.0,1000
Vector-MLP-L4,b=5.0_g=0.5_n=20,0.0,0.0,0.0,1000
Vector-MLP-L4,b=5.0_g=1.0_n=7,0.0,0.0,0.0,1000
Vector-MLP-L4,b=5.0_g=1.0_n=10,0.0,0.0,0.0,1000
Vector-MLP-L4,b=5.0_g=1.0_n=20,0.0,0.0,0.0,1000
Tabular-L6,pooled,0.18142222222222223,0.0042,0.3721777777777778,45000
Tabular-L6,n=7,0.20033333333333334,0.0030666666666666668,0.35733333333333334,15000
Tabular-L6,n=10,0.1706,0.0026,0.37453333333333333,15000
Tabular-L6,n=20,0.17333333333333334,0.006933333333333333,0.38466666666666666,15000
Tabular-L6,b=1.5_g=0.1_n=7,0.606,0.005,0.689,1000
Tabular-L6,b=1.5_g=0.1_n=10,0.411,0.004,0.573,1000
Tabular-L6,b=1.5_g=0.1_n=20,0.728,0.01,0.749,1000
Tabular-L6,b=1.5_g=0.5_n=7,0.192,0.0,0.317,1000
Tabular-L6,b=1.5_g=0.5_n=10,0.051,0.001,0.145,1000
Tabular-L6,b=1.5_g=0.5_n=20,0.023,0.006,0.043,1000
Tabular-L6,b=1.5_g=1.0_n=7,0.044,0.023,0.205,1000
Tabular-L6,b=1.5_g=1.0_n=10,0.005,0.0,0.291,1000
Tabular-L6,b=1.5_g=1.0_n=20,0.0,0.0,0.023,1000
Tabular-L6,b=2.0_g=0.1_n=7,0.421,0.001,0.591,1000
Tabular-L6,b=2.0_g=0.1_n=10,0.232,0.0,0.383,1000
Tabular-L6,b=2.0_g=0.1_n=20,0.392,0.001,0.453,1000
Tabular-L6,b=2.0_g=0.5_n=7,0.134,0.009,0.25,1000
Tabular-L6,b=2.0_g=0.5_n=10,0.076,0.0,0.19,1000
Tabular-L6,b=2.0_g=0.5_n=20,0.001,0.0,0.043,1000
Tabular-L6,b=2.0_g=1.0_n=7,0.036,0.004,0.127,1000
Tabular-L6,b=2.0_g=1.0_n=10,0.016,0.021,0.113,1000
Tabular-L6,b=2.0_g=1.0_n=20,0.005,0.067,0.524,1000
Tabular-L6,b=2.5_g=0.1_n=7,0.335,0.0,0.632,1000
Tabular-L6,b=2.5_g=0.1_n=10,0.312,0.001,0.591,1000
Tabular-L6,b=2.5_g=0.1_n=20,0.3,0.0,0.409,1000
Tabular-L6,b=2.5_g=0.5_n=7,0.086,0.004,0.153,1000
Tabular-L6,b=2.5_g=0.5_n=10,0.091,0.01,0.192,1000
Tabular-L6,b=2.5_g=0.5_n=20,0.03,0.0,0.074,1000
Tabular-L6,b=2.5_g=1.0_n=7,0.066,0.0,0.153,1000
Tabular-L6,b=2.5_g=1.0_n=10,0.031,0.002,0.183,1000
Tabular-L6,b=2.5_g=1.0_n=20,0.071,0.02,0.264,1000
Tabular-L6,b=4.0_g=0.1_n=7,0.3,0.0,0.53,1000
Tabular-L6,b=4.0_g=0.1_n=10,0.31,0.0,0.686,1000
Tabular-L6,b=4.0_g=0.1_n=20,0.248,0.0,0.623,1000
Tabular-L6,b=4.0_g=0.5_n=7,0.183,0.0,0.373,1000
Tabular-L6,b=4.0_g=0.5_n=10,0.21,0.0,0.412,1000
Tabular-L6,b=4.0_g=0.5_n=20,0.182,0.0,0.4,1000
Tabular-L6,b=4.0_g=1.0_n=7,0.132,0.0,0.255,1000
Tabular-L6,b=4.0_g=1.0_n=10,0.169,0.0,0.368,1000
Tabular-L6,b=4.0_g=1.0_n=20,0.108,0.0,0.502,1000
Tabular-L6,b=5.0_g=0.1_n=7,0.257,0.0,0.684,1000
Tabular-L6,b=5.0_g=0.1_n=10,0.302,0.0,0.692,1000
Tabular-L6,b=5.0_g=0.1_n=20,0.278,0.0,0.704,1000
Tabular-L6,b=5.0_g=0.5_n=7,0.109,0.0,0.193,1000
Tabular-L6,b=5.0_g=0.5_n=10,0.216,0.0,0.387,1000
Tabular-L6,b=5.0_g=0.5_n=20,0.124,0.0,0.451,1000
Tabular-L6,b=5.0_g=1.0_n=7,0.104,0.0,0.208,1000
Tabular-L6,b=5.0_g=1.0_n=10,0.127,0.0,0.412,1000
Tabular-L6,b=5.0_g=1.0_n=20,0.11,0.0,0.508,1000
L2,pooled,0.0,0.0,0.0,45000
L2,n=7,0.0,0.0,0.0,15000
L2,n=10,0.0,0.0,0.0,15000
L2,n=20,0.0,0.0,0.0,15000
L2,b=1.5_g=0.1_n=7,0.0,0.0,0.0,1000
L2,b=1.5_g=0.1_n=10,0.0,0.0,0.0,1000
L2,b=1.5_g=0.1_n=20,0.0,0.0,0.0,1000
L2,b=1.5_g=0.5_n=7,0.0,0.0,0.0,1000
L2,b=1.5_g=0.5_n=10,0.0,0.0,0.0,1000
L2,b=1.5_g=0.5_n=20,0.0,0.0,0.0,1000
L2,b=1.5_g=1.0_n=7,0.0,0.0,0.0,1000
L2,b=1.5_g=1.0_n=10,0.0,0.0,0.0,1000
L2,b=1.5_g=1.0_n=20,0.0,0.0,0.0,1000
L2,b=2.0_g=0.1_n=7,0.0,0.0,0.0,1000
L2,b=2.0_g=0.1_n=10,0.0,0.0,0.0,1000
L2,b=2.0_g=0.1_n=20,0.0,0.0,0.0,1000
L2,b=2.0_g=0.5_n=7,0.0,0.0,0.0,1000
L2,b=2.0_g=0.5_n=10,0.0,0.0,0.0,1000
L2,b=2.0_g=0.5_n=20,0.0,0.0,0.0,1000
L2,b=2.0_g=1.0_n=7,0.0,0.0,0.0,1000
L2,b=2.0_g=1.0_n=10,0.0,0.0,0.0,1000
L2,b=2.0_g=1.0_n=20,0.0,0.0,0.0,1000
L2,b=2.5_g=0.1_n=7,0.0,0.0,0.0,1000
L2,b=2.5_g=0.1_n=10,0.0,0.0,0.0,1000
L2,b=2.5_g=0.1_n=20,0.0,0.0,0.0,1000
L2,b=2.5_g=0.5_n=7,0.0,0.0,0.0,1000
L2,b=2.5_g=0.5_n=10,0.0,0.0,0.0,1000
L2,b=2.5_g=0.5_n=20,0.0,0.0,0.0,1000
L2,b=2.5_g=1.0_n=7,0.0,0.0,0.0,1000
L2,b=2.5_g=1.0_n=10,0.0,0.0,0.0,1000
L2,b=2.5_g=1.0_n=20,0.0,0.0,0.0,1000
L2,b=4.0_g=0.1_n=7,0.0,0.0,0.0,1000
L2,b=4.0_g=0.1_n=10,0.0,0.0,0.0,1000
L2,b=4.0_g=0.1_n=20,0.0,0.0,0.0,1000
L2,b=4.0_g=0.5_n=7,0.0,0.0,0.0,1000
L2,b=4.0_g=0.5_n=10,0.0,0.0,0.0,1000
L2,b=4.0_g=0.5_n=20,0.0,0.0,0.0,1000
L2,b=4.0_g=1.0_n=7,0.0,0.0,0.0,1000
L2,b=4.0_g=1.0_n=10,0.0,0.0,0.0,1000
L2,b=4.0_g=1.0_n=20,0.0,0.0,0.0,1000
L2,b=5.0_g=0.1_n=7,0.0,0.0,0.0,1000
L2,b=5.0_g=0.1_n=10,0.0,0.0,0.0,1000
L2,b=5.0_g=0.1_n=20,0.0,0.0,0.0,1000
L2,b=5.0_g=0.5_n=7,0.0,0.0,0.0,1000
L2,b=5.0_g=0.5_n=10,0.0,0.0,0.0,1000
L2,b=5.0_g=0.5_n=20,0.0,0.0,0.0,1000
L2,b=5.0_g=1.0_n=7,0.0,0.0,0.0,1000
L2,b=5.0_g=1.0_n=10,0.0,0.0,0.0,1000
L2,b=5.0_g=1.0_n=20,0.0,0.0,0.0,1000
L6-hindsight,pooled,0.47455555555555556,0.06573333333333334,0.6474222222222222,45000
L6-hindsight,n=7,0.4876,0.0424,0.6525333333333333,15000
L6-hindsight,n=10,0.4845333333333333,0.05853333333333333,0.6524,15000
L6-hindsight,n=20,0.45153333333333334,0.09626666666666667,0.6373333333333333,15000
L6-hindsight,b=1.5_g=0.1_n=7,0.538,0.113,0.685,1000
L6-hindsight,b=1.5_g=0.1_n=10,0.539,0.159,0.728,1000
L6-hindsight,b=1.5_g=0.1_n=20,0.464,0.322,0.807,1000
L6-hindsight,b=1.5_g=0.5_n=7,0.442,0.179,0.657,1000
L6-hindsight,b=1.5_g=0.5_n=10,0.457,0.245,0.735,1000
L6-hindsight,b=1.5_g=0.5_n=20,0.443,0.338,0.805,1000
L6-hindsight,b=1.5_g=1.0_n=7,0.439,0.168,0.645,1000
L6-hindsight,b=1.5_g=1.0_n=10,0.446,0.242,0.723,1000
L6-hindsight,b=1.5_g=1.0_n=20,0.441,0.332,0.791,1000
L6-hindsight,b=2.0_g=0.1_n=7,0.547,0.035,0.622,1000
L6-hindsight,b=2.0_g=0.1_n=10,0.486,0.064,0.59,1000
L6-hindsight,b=2.0_g=0.1_n=20,0.461,0.116,0.618,1000
L6-hindsight,b=2.0_g=0.5_n=7,0.426,0.048,0.537,1000
L6-hindsight,b=2.0_g=0.5_n=10,0.462,0.058,0.576,1000
L6-hindsight,b=2.0_g=0.5_n=20,0.412,0.144,0.594,1000
L6-hindsight,b=2.0_g=1.0_n=7,0.42,0.051,0.53,1000
L6-hindsight,b=2.0_g=1.0_n=10,0.445,0.07,0.569,1000
L6-hindsight,b=2.0_g=1.0_n=20,0.422,0.131,0.58,1000
L6-hindsight,b=2.5_g=0.1_n=7,0.573,0.01,0.639,1000
L6-hindsight,b=2.5_g=0.1_n=10,0.514,0.013,0.59,1000
L6-hindsight,b=2.5_g=0.1_n=20,0.451,0.027,0.534,1000
L6-hindsight,b=2.5_g=0.5_n=7,0.423,0.019,0.538,1000
L6-hindsight,b=2.5_g=0.5_n=10,0.433,0.015,0.536,1000
L6-hindsight,b=2.5_g=0.5_n=20,0.412,0.019,0.499,1000
L6-hindsight,b=2.5_g=1.0_n=7,0.432,0.012,0.542,1000
L6-hindsight,b=2.5_g=1.0_n=10,0.431,0.012,0.523,1000
L6-hindsight,b=2.5_g=1.0_n=20,0.461,0.015,0.52,1000
L6-hindsight,b=4.0_g=0.1_n=7,0.656,0.001,0.769,1000
L6-hindsight,b=4.0_g=0.1_n=10,0.583,0.0,0.691,1000
L6-hindsight,b=4.0_g=0.1_n=20,0.526,0.0,0.652,1000
L6-hindsight,b=4.0_g=0.5_n=7,0.445,0.0,0.656,1000
L6-hindsight,b=4.0_g=0.5_n=10,0.456,0.0,0.628,1000
L6-hindsight,b=4.0_g=0.5_n=20,0.445,0.0,0.593,1000
L6-hindsight,b=4.0_g=1.0_n=7,0.444,0.0,0.649,1000
L6-hindsight,b=4.0_g=1.0_n=10,0.444,0.0,0.629,1000
L6-hindsight,b=4.0_g=1.0_n=20,0.417,0.0,0.563,1000
L6-hindsight,b=5.0_g=0.1_n=7,0.69,0.0,0.854,1000
L6-hindsight,b=5.0_g=0.1_n=10,0.686,0.0,0.842,1000
L6-hindsight,b=5.0_g=0.1_n=20,0.58,0.0,0.717,1000
L6-hindsight,b=5.0_g=0.5_n=7,0.426,0.0,0.732,1000
L6-hindsight,b=5.0_g=0.5_n=10,0.437,0.0,0.69,1000
L6-hindsight,b=5.0_g=0.5_n=20,0.412,0.0,0.635,1000
L6-hindsight,b=5.0_g=1.0_n=7,0.413,0.0,0.733,1000
L6-hindsight,b=5.0_g=1.0_n=10,0.449,0.0,0.736,1000
L6-hindsight,b=5.0_g=1.0_n=20,0.426,0.0,0.652,1000
