beta,gamma_over_eta,n,method,mean_loss_primary,J1_primary,failure_rate,n_samples
2.0,0.5,15,MDM-0.1,0.22726544074178875,0.4767236523834209,0.0,300
2.0,0.5,15,MLE,0.9499316328496163,0.9746443622417442,0.2,300
2.0,0.5,15,WMLE,0.45964033025840273,0.6779677944109165,0.0,300
2.0,0.5,20,LRE,0.32188075970902985,0.5673453619348887,0.0,300
2.0,0.5,20,LSE,0.31782796165069593,0.5637623272716047,0.0,300
2.0,0.5,20,MDM-0.1,0.16588234072615082,0.407286558489414,0.0,300
2.0,0.5,20,MLE,0.6061658236588308,0.7785665184548015,0.11333333333333333,300
2.0,0.5,20,WMLE,0.3901812993026066,0.6246449385871998,0.0,300
2.0,0.75,7,LRE,1.2123156011708796,1.1010520428984634,0.0,300
2.0,0.75,7,LSE,1.2796930049532569,1.1312351678379067,0.0,300
2.0,0.75,7,MDM-0.1,0.43596384999391613,0.660275586398525,0.0,300
2.0,0.75,7,MLE,3.1783747165741727,1.7827996849265406,0.54,300
2.0,0.75,7,WMLE,1.144907715196243,1.0700036052258155,0.0,300
2.0,0.75,10,LRE,0.8774232798685158,0.9367087486879342,0.0,300
2.0,0.75,10,LSE,0.9259845085825636,0.962280888609227,0.0,300
2.0,0.75,10,MDM-0.1,0.3137020500785321,0.5600911087301172,0.0,300
2.0,0.75,10,MLE,2.09039792764388,1.4458208490832742,0.38,300
2.0,0.75,10,WMLE,0.9035954543889962,0.9505763800920978,0.0,300
2.0,0.75,15,LRE,0.6528898012169583,0.8080159659418608,0.0,300
2.0,0.75,15,LSE,0.6453522859494288,0.8033382139232695,0.0,300
2.0,0.75,15,MDM-0.1,0.24817781889720622,0.49817448639729256,0.0,300
2.0,0.75,15,MLE,1.2877933796191159,1.134809842933659,0.24666666666666667,300
2.0,0.75,15,WMLE,0.8038003427038966,0.8965491301116166,0.0,300
2.0,0.75,20,LRE,0.4168042949955687,0.6456038220112771,0.0,300
2.0,0.75,20,LSE,0.4039170335541573,0.6355446747115087,0.0,300
2.0,0.75,20,MDM-0.1,0.1604797297673087,0.40059921338828003,0.0,300
2.0,0.75,20,MLE,0.6089580616123049,0.7803576498070003,0.07,300
2.0,0.75,20,WMLE,0.6093619956607067,0.7806164203119909,0.0,300
2.0,1.0,7,LRE,1.6277475281240374,1.2758320924494875,0.0,300
2.0,1.0,7,LSE,1.8054798240200212,1.3436814443981957,0.0,300
2.0,1.0,7,MDM-0.1,0.44810039364077037,0.6694030128709987,0.0,300
2.0,1.0,7,MLE,3.70316622737252,1.9243612517852566,0.5666666666666667,300
2.0,1.0,7,WMLE,1.5705231382183291,1.2532051461027156,0.0,300
2.0,1.0,10,LRE,1.1671047159084929,1.0803262081003555,0.0,300
2.0,1.0,10,LSE,1.1682851536972227,1.0808724039854207,0.0,300
2.0,1.0,10,MDM-0.1,0.2922161136478038,0.5405701745821756,0.0,300
2.0,1.0,10,MLE,2.172614303080052,1.4739790714525265,0.3466666666666667,300
2.0,1.0,10,WMLE,1.0880601388581765,1.0431012121832552,0.0,300
2.0,1.0,15,LRE,0.7197937132581668,0.8484065730875539,0.0,300
2.0,1.0,15,LSE,0.6859296995050175,0.8282087294305811,0.0,300
2.0,1.0,15,MDM-0.1,0.2296012204956131,0.47916721558931086,0.0,300
2.0,1.0,15,MLE,1.4679917631118444,1.2116070993155514,0.26,300
2.0,1.0,15,WMLE,1.1823608373688441,1.0873641696179086,0.0,300
2.0,1.0,20,LRE,0.4870776156740743,0.6979094609432331,0.0,300
2.0,1.0,20,LSE,0.49465120548879166,0.7033144428268139,0.0,300
2.0,1.0,20,MDM-0.1,0.1769017679628685,0.4205969186321608,0.0,300
2.0,1.0,20,MLE,0.769688990144305,0.8773192065287896,0.10333333333333333,300
2.0,1.0,20,WMLE,0.7610330268830567,0.87237206906403,0.0,300
2.5,0.1,7,LRE,0.47066291043854097,0.6860487668078276,0.0,300
2.5,0.1,7,LSE,0.5214464109663315,0.7221124642092336,0.0,300
2.5,0.1,7,MDM-0.1,0.4510370771772441,0.6715929400888935,0.0,300
2.5,0.1,7,MLE,1.8143847040189962,1.346990981417098,0.4766666666666667,300
2.5,0.1,7,WMLE,0.2199525918558196,0.46899103600796005,0.0,300
2.5,0.1,10,LRE,0.3366107530329515,0.5801816552020165,0.0,300
2.5,0.1,10,LSE,0.35223731745637393,0.5934958445148323,0.0,300
