selected_method,train_mean_loss,selector,fold,n,beta,gamma_over_eta
MDM-0.1,0.27148565303548955,beta,2,,2.0,
MDM-0.1,0.28615025545955824,beta,2,,2.5,
MDM-0.1,0.32930185876320506,beta,2,,3.0,
WMLE,0.3485928590827682,beta,2,,3.5,
WMLE,0.4048792076448154,beta,2,,4.0,
WMLE,0.4479733647716974,beta,2,,4.5,
WMLE,0.5207491690111147,beta,2,,5.0,
MDM-0.1,0.3066357196468389,beta,3,,1.5,
MDM-0.1,0.2719211397344176,beta,3,,2.0,
MDM-0.1,0.2865563384957558,beta,3,,2.5,
MDM-0.1,0.3290923335669564,beta,3,,3.0,
WMLE,0.3508305623119065,beta,3,,3.5,
WMLE,0.40128555941610655,beta,3,,4.0,
WMLE,0.44699448195560526,beta,3,,4.5,
WMLE,0.5165879984474246,beta,3,,5.0,
MDM-0.1,0.3035075413826791,beta,4,,1.5,
MDM-0.1,0.2640127665014751,beta,4,,2.0,
MDM-0.1,0.2839754490805309,beta,4,,2.5,
MDM-0.1,0.3240006963747804,beta,4,,3.0,
WMLE,0.34985913057278595,beta,4,,3.5,
WMLE,0.4016137413870101,beta,4,,4.0,
WMLE,0.4447784751798193,beta,4,,4.5,
WMLE,0.5125247719183245,beta,4,,5.0,
MDM-0.1,0.5480621717817562,beta+n,0,7.0,1.5,
MDM-0.1,0.3198682860144287,beta+n,0,10.0,1.5,
MDM-0.1,0.20702961148412197,beta+n,0,15.0,1.5,
MDM-0.1,0.14873161623105735,beta+n,0,20.0,1.5,
MDM-0.1,0.4381303842930227,beta+n,0,7.0,2.0,
MDM-0.1,0.29163120306695345,beta+n,0,10.0,2.0,
MDM-0.1,0.21255587679584897,beta+n,0,15.0,2.0,
MDM-0.1,0.15577758282297605,beta+n,0,20.0,2.0,
MDM-0.1,0.43355278508235234,beta+n,0,7.0,2.5,
MDM-0.1,0.3195788975976912,beta+n,0,10.0,2.5,
MDM-0.1,0.21385276196767586,beta+n,0,15.0,2.5,
MDM-0.1,0.1603260464471557,beta+n,0,20.0,2.5,
WMLE,0.4748764388264442,beta+n,0,7.0,3.0,
MDM-0.1,0.34984741575419237,beta+n,0,10.0,3.0,
MDM-0.1,0.26752971560792166,beta+n,0,15.0,3.0,
MDM-0.1,0.2068554761309488,beta+n,0,20.0,3.0,
WMLE,0.42059102099169154,beta+n,0,7.0,3.5,
WMLE,0.3767070997082373,beta+n,0,10.0,3.5,
MDM-0.1,0.30075050087810157,beta+n,0,15.0,3.5,
MDM-0.1,0.24579548913527002,beta+n,0,20.0,3.5,
WMLE,0.48134617825438836,beta+n,0,7.0,4.0,
WMLE,0.4481024726892006,beta+n,0,10.0,4.0,
WMLE,0.36437528968270505,beta+n,0,15.0,4.0,
MDM-0.1,0.29807328790983667,beta+n,0,20.0,4.0,
WMLE,0.5316768417231422,beta+n,0,7.0,4.5,
WMLE,0.4928869811685596,beta+n,0,10.0,4.5,
WMLE,0.4137109111354451,beta+n,0,15.0,4.5,
WMLE,0.35507327172123115,beta+n,0,20.0,4.5,
WMLE,0.5963067527119499,beta+n,0,7.0,5.0,
WMLE,0.5761793300463155,beta+n,0,10.0,5.0,
WMLE,0.48717389059923183,beta+n,0,15.0,5.0,
WMLE,0.39837357667071915,beta+n,0,20.0,5.0,
MDM-0.1,0.5218046513047138,beta+n,1,7.0,1.5,
MDM-0.1,0.3135320429663491,beta+n,1,10.0,1.5,
MDM-0.1,0.2111768274244771,beta+n,1,15.0,1.5,
MDM-0.1,0.14250996870797972,beta+n,1,20.0,1.5,
MDM-0.1,0.43933341107315405,beta+n,1,7.0,2.0,
MDM-0.1,0.28639190217140886,beta+n,1,10.0,2.0,
MDM-0.1,0.20904816922952016,beta+n,1,15.0,2.0,
MDM-0.1,0.15581314627319023,beta+n,1,20.0,2.0,
MDM-0.1,0.39995145846599894,beta+n,1,7.0,2.5,
MDM-0.1,0.3169522054619922,beta+n,1,10.0,2.5,
MDM-0.1,0.22039474165879522,beta+n,1,15.0,2.5,
MDM-0.1,0.16637886790973644,beta+n,1,20.0,2.5,
WMLE,0.4753360166782027,beta+n,1,7.0,3.0,
MDM-0.1,0.33947857812307153,beta+n,1,10.0,3.0,
MDM-0.1,0.2581138465832042,beta+n,1,15.0,3.0,
MDM-0.1,0.20190223571163202,beta+n,1,20.0,3.0,
WMLE,0.4154050414560953,beta+n,1,7.0,3.5,
WMLE,0.3889633727728164,beta+n,1,10.0,3.5,
MDM-0.1,0.30573119000956606,beta+n,1,15.0,3.5,
MDM-0.1,0.25522699992216197,beta+n,1,20.0,3.5,
WMLE,0.4743888493849615,beta+n,1,7.0,4.0,
WMLE,0.4535131667205448,beta+n,1,10.0,4.0,
WMLE,0.3592611720501947,beta+n,1,15.0,4.0,
MDM-0.1,0.3079597666925828,beta+n,1,20.0,4.0,
WMLE,0.5273410941912439,beta+n,1,7.0,4.5,
WMLE,0.5008509595389877,beta+n,1,10.0,4.5,
WMLE,0.4100017328199546,beta+n,1,15.0,4.5,
WMLE,0.3554884946024636,beta+n,1,20.0,4.5,
WMLE,0.5931404185255079,beta+n,1,7.0,5.0,
WMLE,0.579683812807879,beta+n,1,10.0,5.0,
WMLE,0.4778787482247183,beta+n,1,15.0,5.0,
WMLE,0.4118513556028422,beta+n,1,20.0,5.0,
MDM-0.1,0.4869553147316201,beta+n,2,7.0,1.5,
MDM-0.1,0.3129430603374466,beta+n,2,10.0,1.5,
MDM-0.1,0.2011390688937135,beta+n,2,15.0,1.5,
MDM-0.1,0.14515207577216985,beta+n,2,20.0,1.5,
MDM-0.1,0.42857064871841555,beta+n,2,7.0,2.0,
MDM-0.1,0.29681168225943905,beta+n,2,10.0,2.0,
MDM-0.1,0.206809239864841,beta+n,2,15.0,2.0,
MDM-0.1,0.15375104129926256,beta+n,2,20.0,2.0,
MDM-0.1,0.44843794213168714,beta+n,2,7.0,2.5,
MDM-0.1,0.3183193747734647,beta+n,2,10.0,2.5,
MDM-0.1,0.20948517294124344,beta+n,2,15.0,2.5,
MDM-0.1,0.1683585319918377,beta+n,2,20.0,2.5,
WMLE,0.4715257212661938,beta+n,2,7.0,3.0,
MDM-0.1,0.3525598361604182,beta+n,2,10.0,3.0,
MDM-0.1,0.26237974680120296,beta+n,2,15.0,3.0,
MDM-0.1,0.20868788038340813,beta+n,2,20.0,3.0,
WMLE,0.42549844246915064,beta+n,2,7.0,3.5,
WMLE,0.3879472205543628,beta+n,2,10.0,3.5,
MDM-0.1,0.28504653712716954,beta+n,2,15.0,3.5,
MDM-0.1,0.24085626220030026,beta+n,2,20.0,3.5,
WMLE,0.48417186658163447,beta+n,2,7.0,4.0,
WMLE,0.456951918379366,beta+n,2,10.0,4.0,
WMLE,0.3619616842727208,beta+n,2,15.0,4.0,
MDM-0.1,0.3053661148941934,beta+n,2,20.0,4.0,
WMLE,0.5316651373155242,beta+n,2,7.0,4.5,
WMLE,0.4939251005437805,beta+n,2,10.0,4.5,
WMLE,0.41011734067038835,beta+n,2,15.0,4.5,
WMLE,0.35618588055709677,beta+n,2,20.0,4.5,
WMLE,0.5957678865243019,beta+n,2,7.0,5.0,
WMLE,0.598509495360772,beta+n,2,10.0,5.0,
WMLE,0.4822434440810301,beta+n,2,15.0,5.0,
WMLE,0.4064758500783546,beta+n,2,20.0,5.0,
MDM-0.1,0.5558830967878937,beta+n,3,7.0,1.5,
MDM-0.1,0.3146372147811661,beta+n,3,10.0,1.5,
MDM-0.1,0.2112213640803827,beta+n,3,15.0,1.5,
MDM-0.1,0.14480120293791293,beta+n,3,20.0,1.5,
MDM-0.1,0.4238428205092585,beta+n,3,7.0,2.0,
MDM-0.1,0.29607462581480876,beta+n,3,10.0,2.0,
MDM-0.1,0.211448387031604,beta+n,3,15.0,2.0,
MDM-0.1,0.1563187255819991,beta+n,3,20.0,2.0,
MDM-0.1,0.4473197249169036,beta+n,3,7.0,2.5,
MDM-0.1,0.3189094432621105,beta+n,3,10.0,2.5,
MDM-0.1,0.2144116582273243,beta+n,3,15.0,2.5,
MDM-0.1,0.16558452757668485,beta+n,3,20.0,2.5,
WMLE,0.4677774042487523,beta+n,3,7.0,3.0,
MDM-0.1,0.3497987357850306,beta+n,3,10.0,3.0,
MDM-0.1,0.2634087519269402,beta+n,3,15.0,3.0,
MDM-0.1,0.20578679054549484,beta+n,3,20.0,3.0,
WMLE,0.42391343305434165,beta+n,3,7.0,3.5,
WMLE,0.3846001492262079,beta+n,3,10.0,3.5,
MDM-0.1,0.2944885439877926,beta+n,3,15.0,3.5,
MDM-0.1,0.2462463094393503,beta+n,3,20.0,3.5,
WMLE,0.47678577487255447,beta+n,3,7.0,4.0,
WMLE,0.45134458320258974,beta+n,3,10.0,4.0,
WMLE,0.36152778720615325,beta+n,3,15.0,4.0,
MDM-0.1,0.30391470117268105,beta+n,3,20.0,4.0,
WMLE,0.5339516692012415,beta+n,3,7.0,4.5,
WMLE,0.48910369355245764,beta+n,3,10.0,4.5,
WMLE,0.4122270252370467,beta+n,3,15.0,4.5,
WMLE,0.35269553983167523,beta+n,3,20.0,4.5,
WMLE,0.595414128374376,beta+n,3,7.0,5.0,
WMLE,0.5778468150868149,beta+n,3,10.0,5.0,
WMLE,0.4838357326560913,beta+n,3,15.0,5.0,
WMLE,0.40925531767241624,beta+n,3,20.0,5.0,
MDM-0.1,0.5516070107244531,beta+n,4,7.0,1.5,
MDM-0.1,0.31268412582804256,beta+n,4,10.0,1.5,
MDM-0.1,0.20459790569572048,beta+n,4,15.0,1.5,
MDM-0.1,0.1451411232825004,beta+n,4,20.0,1.5,
MDM-0.1,0.39919908779933505,beta+n,4,7.0,2.0,
MDM-0.1,0.2819710860152352,beta+n,4,10.0,2.0,
MDM-0.1,0.2153420635513045,beta+n,4,15.0,2.0,
MDM-0.1,0.15953882864002564,beta+n,4,20.0,2.0,
MDM-0.1,0.4386078383281329,beta+n,4,7.0,2.5,
MDM-0.1,0.31335223523956945,beta+n,4,10.0,2.5,
MDM-0.1,0.2171011443757143,beta+n,4,15.0,2.5,
MDM-0.1,0.16684057837870708,beta+n,4,20.0,2.5,
WMLE,0.4587653938538614,beta+n,4,7.0,3.0,
MDM-0.1,0.35155564410120876,beta+n,4,10.0,3.0,
MDM-0.1,0.26130766937516214,beta+n,4,15.0,3.0,
MDM-0.1,0.2044178214668215,beta+n,4,20.0,3.0,
WMLE,0.42109152520684745,beta+n,4,7.0,3.5,
WMLE,0.37974085119726797,beta+n,4,10.0,3.5,
MDM-0.1,0.293636855313943,beta+n,4,15.0,3.5,
MDM-0.1,0.24756132485576957,beta+n,4,20.0,3.5,
WMLE,0.4733021522649105,beta+n,4,7.0,4.0,
WMLE,0.45066744421233845,beta+n,4,10.0,4.0,
WMLE,0.3698083028276236,beta+n,4,15.0,4.0,
MDM-0.1,0.2979650146393542,beta+n,4,20.0,4.0,
WMLE,0.5228779200517178,beta+n,4,7.0,4.5,
WMLE,0.5009811136402186,beta+n,4,10.0,4.5,
WMLE,0.3979263100770724,beta+n,4,15.0,4.5,
WMLE,0.3573285569502682,beta+n,4,20.0,4.5,
WMLE,0.5947503769566225,beta+n,4,7.0,5.0,
WMLE,0.5716903074760074,beta+n,4,10.0,5.0,
WMLE,0.47631092781337797,beta+n,4,15.0,5.0,
WMLE,0.40734747542729005,beta+n,4,20.0,5.0,
WMLE,0.2960757747929825,cell,0,7.0,1.5,0.1
MDM-0.1,0.21023948756356525,cell,0,10.0,1.5,0.1
MDM-0.1,0.14421608457917265,cell,0,15.0,1.5,0.1
WMLE,0.10674932006615698,cell,0,20.0,1.5,0.1
MDM-0.1,0.39239599746188764,cell,0,7.0,1.5,0.25
MDM-0.1,0.3082706104850911,cell,0,10.0,1.5,0.25
MDM-0.1,0.17954102801497948,cell,0,15.0,1.5,0.25
MDM-0.1,0.1425497740321272,cell,0,20.0,1.5,0.25
MDM-0.1,0.6033423292675567,cell,0,7.0,1.5,0.5
MDM-0.1,0.38369862434486957,cell,0,10.0,1.5,0.5
MDM-0.1,0.23633804076140674,cell,0,15.0,1.5,0.5
MDM-0.1,0.156253991606276,cell,0,20.0,1.5,0.5
MDM-0.1,0.8928635012155371,cell,0,7.0,1.5,0.75
MDM-0.1,0.37572182147030014,cell,0,10.0,1.5,0.75
MDM-0.1,0.21879375172157203,cell,0,15.0,1.5,0.75
MDM-0.1,0.18321810160581256,cell,0,20.0,1.5,0.75
MDM-0.1,0.5188765541861465,cell,0,7.0,1.5,1.0
MDM-0.1,0.32141088620831737,cell,0,10.0,1.5,1.0
MDM-0.1,0.25625915234347896,cell,0,15.0,1.5,1.0
MDM-0.1,0.15304209001782146,cell,0,20.0,1.5,1.0
WMLE,0.24449147420909806,cell,0,7.0,2.0,0.1
WMLE,0.16188055563519718,cell,0,10.0,2.0,0.1
WMLE,0.12389680358389724,cell,0,15.0,2.0,0.1
WMLE,0.09666913638178938,cell,0,20.0,2.0,0.1
WMLE,0.42429918100374847,cell,0,7.0,2.0,0.25
WMLE,0.26341027100525277,cell,0,10.0,2.0,0.25
MDM-0.1,0.19827578462671436,cell,0,15.0,2.0,0.25
MDM-0.1,0.14958678964820277,cell,0,20.0,2.0,0.25
MDM-0.1,0.5503572256969159,cell,0,7.0,2.0,0.5
MDM-0.1,0.3225049066231076,cell,0,10.0,2.0,0.5
MDM-0.1,0.23275983398975603,cell,0,15.0,2.0,0.5
MDM-0.1,0.16787014426407657,cell,0,20.0,2.0,0.5
MDM-0.1,0.4410209269287028,cell,0,7.0,2.0,0.75
MDM-0.1,0.32426396374166877,cell,0,10.0,2.0,0.75
MDM-0.1,0.24487175925279522,cell,0,15.0,2.0,0.75
MDM-0.1,0.15734176758596377,cell,0,20.0,2.0,0.75
MDM-0.1,0.45183751119374865,cell,0,7.0,2.0,1.0
MDM-0.1,0.29397118691419283,cell,0,10.0,2.0,1.0
MDM-0.1,0.2345641535299404,cell,0,15.0,2.0,1.0
MDM-0.1,0.17953266105247886,cell,0,20.0,2.0,1.0
WMLE,0.2233709127949223,cell,0,7.0,2.5,0.1
WMLE,0.14485301401498735,cell,0,10.0,2.5,0.1
WMLE,0.13968065247239667,cell,0,15.0,2.5,0.1
WMLE,0.11810124658512751,cell,0,20.0,2.5,0.1
WMLE,0.32670173552537674,cell,0,7.0,2.5,0.25
WMLE,0.26413733070721923,cell,0,10.0,2.5,0.25
MDM-0.1,0.2081465048324003,cell,0,15.0,2.5,0.25
MDM-0.1,0.15004768024273693,cell,0,20.0,2.5,0.25
MDM-0.1,0.3742088799531551,cell,0,7.0,2.5,0.5
MDM-0.1,0.33288003835520075,cell,0,10.0,2.5,0.5
MDM-0.1,0.22926659536606792,cell,0,15.0,2.5,0.5
MDM-0.1,0.1714137020182488,cell,0,20.0,2.5,0.5
MDM-0.1,0.5120292637385429,cell,0,7.0,2.5,0.75
MDM-0.1,0.35938078520578043,cell,0,10.0,2.5,0.75
MDM-0.1,0.2146826997009049,cell,0,15.0,2.5,0.75
MDM-0.1,0.1774344855311958,cell,0,20.0,2.5,0.75
MDM-0.1,0.3819417974789943,cell,0,7.0,2.5,1.0
MDM-0.1,0.3278615536157807,cell,0,10.0,2.5,1.0
MDM-0.1,0.2157915855802773,cell,0,15.0,2.5,1.0
MDM-0.1,0.16040534884210686,cell,0,20.0,2.5,1.0
WMLE,0.27770062316788097,cell,0,7.0,3.0,0.1
WMLE,0.23494485710968277,cell,0,10.0,3.0,0.1
WMLE,0.1793940780111132,cell,0,15.0,3.0,0.1
WMLE,0.1902621024481757,cell,0,20.0,3.0,0.1
WMLE,0.32187005974485605,cell,0,7.0,3.0,0.25
WMLE,0.2980741789953448,cell,0,10.0,3.0,0.25
WMLE,0.225385351743696,cell,0,15.0,3.0,0.25
MDM-0.1,0.20292464907572846,cell,0,20.0,3.0,0.25
WMLE,0.4734239550902203,cell,0,7.0,3.0,0.5
MDM-0.1,0.3501548937258875,cell,0,10.0,3.0,0.5
MDM-0.1,0.3138648210242915,cell,0,15.0,3.0,0.5
MDM-0.1,0.21432584460038584,cell,0,20.0,3.0,0.5
MDM-0.1,0.4701052730034812,cell,0,7.0,3.0,0.75
MDM-0.1,0.36237382439547555,cell,0,10.0,3.0,0.75
MDM-0.1,0.2672648927210043,cell,0,15.0,3.0,0.75
MDM-0.1,0.19288173016231036,cell,0,20.0,3.0,0.75
MDM-0.1,0.5051785869284523,cell,0,7.0,3.0,1.0
MDM-0.1,0.34004323442610124,cell,0,10.0,3.0,1.0
MDM-0.1,0.2812468484815296,cell,0,15.0,3.0,1.0
MDM-0.1,0.21043279927407887,cell,0,20.0,3.0,1.0
WMLE,0.3144613012430317,cell,0,7.0,3.5,0.1
WMLE,0.3059935089189173,cell,0,10.0,3.5,0.1
WMLE,0.24059385374952652,cell,0,15.0,3.5,0.1
WMLE,0.21798621421026876,cell,0,20.0,3.5,0.1
WMLE,0.3592073680549016,cell,0,7.0,3.5,0.25
WMLE,0.3314075592866081,cell,0,10.0,3.5,0.25
WMLE,0.30141271187081153,cell,0,15.0,3.5,0.25
MDM-0.1,0.22182965288208165,cell,0,20.0,3.5,0.25
WMLE,0.4227871505415898,cell,0,7.0,3.5,0.5
MDM-0.1,0.38528207962367167,cell,0,10.0,3.5,0.5
MDM-0.1,0.3277012558298456,cell,0,15.0,3.5,0.5
MDM-0.1,0.24767695952657787,cell,0,20.0,3.5,0.5
WMLE,0.47096217817732,cell,0,7.0,3.5,0.75
WMLE,0.3911181105181449,cell,0,10.0,3.5,0.75
MDM-0.1,0.30112670871855696,cell,0,15.0,3.5,0.75
MDM-0.1,0.24440241453238487,cell,0,20.0,3.5,0.75
WMLE,0.5355371069416147,cell,0,7.0,3.5,1.0
MDM-0.1,0.4186097817931415,cell,0,10.0,3.5,1.0
MDM-0.1,0.29543968302267515,cell,0,15.0,3.5,1.0
MDM-0.1,0.27477781525999473,cell,0,20.0,3.5,1.0
WMLE,0.42759648411907436,cell,0,7.0,4.0,0.1
WMLE,0.39861935685051286,cell,0,10.0,4.0,0.1
WMLE,0.3291438844536538,cell,0,15.0,4.0,0.1
WMLE,0.27966194832072777,cell,0,20.0,4.0,0.1
WMLE,0.40449841841657275,cell,0,7.0,4.0,0.25
WMLE,0.4126176043041179,cell,0,10.0,4.0,0.25
WMLE,0.3611960280299693,cell,0,15.0,4.0,0.25
WMLE,0.32060703027803134,cell,0,20.0,4.0,0.25
WMLE,0.47827272003144533,cell,0,7.0,4.0,0.5
WMLE,0.48982938802594755,cell,0,10.0,4.0,0.5
WMLE,0.3681482061098312,cell,0,15.0,4.0,0.5
MDM-0.1,0.29330892808972653,cell,0,20.0,4.0,0.5
WMLE,0.5155617842481017,cell,0,7.0,4.0,0.75
WMLE,0.46725571317221454,cell,0,10.0,4.0,0.75
MDM-0.1,0.3708372389383278,cell,0,15.0,4.0,0.75
MDM-0.1,0.2913205280707472,cell,0,20.0,4.0,0.75
WMLE,0.5808014844567476,cell,0,7.0,4.0,1.0
WMLE,0.47219030109321014,cell,0,10.0,4.0,1.0
WMLE,0.370004996140117,cell,0,15.0,4.0,1.0
MDM-0.1,0.2756586812427556,cell,0,20.0,4.0,1.0
WMLE,0.5034775173518309,cell,0,7.0,4.5,0.1
WMLE,0.43893353708678345,cell,0,10.0,4.5,0.1
LSE,0.36709673228144635,cell,0,15.0,4.5,0.1
LSE,0.30558990208089176,cell,0,20.0,4.5,0.1
WMLE,0.509387463585149,cell,0,7.0,4.5,0.25
WMLE,0.5084613943541405,cell,0,10.0,4.5,0.25
WMLE,0.40507750157416306,cell,0,15.0,4.5,0.25
WMLE,0.348593682475706,cell,0,20.0,4.5,0.25
WMLE,0.5390895343677339,cell,0,7.0,4.5,0.5
WMLE,0.49158899846650067,cell,0,10.0,4.5,0.5
WMLE,0.4118836594793453,cell,0,15.0,4.5,0.5
WMLE,0.34699301708524993,cell,0,20.0,4.5,0.5
WMLE,0.5527995296909024,cell,0,7.0,4.5,0.75
WMLE,0.49416923711964755,cell,0,10.0,4.5,0.75
WMLE,0.44715111880017333,cell,0,15.0,4.5,0.75
WMLE,0.3800976529715696,cell,0,20.0,4.5,0.75
WMLE,0.5536301636200951,cell,0,7.0,4.5,1.0
WMLE,0.5312817388157259,cell,0,10.0,4.5,1.0
WMLE,0.42315537668135356,cell,0,15.0,4.5,1.0
WMLE,0.345956888881348,cell,0,20.0,4.5,1.0
WMLE,0.5809905787749617,cell,0,7.0,5.0,0.1
WMLE,0.5735492677370637,cell,0,10.0,5.0,0.1
LSE,0.4887626626997725,cell,0,15.0,5.0,0.1
LSE,0.32915601246306814,cell,0,20.0,5.0,0.1
WMLE,0.5678270250313667,cell,0,7.0,5.0,0.25
WMLE,0.5950190588861197,cell,0,10.0,5.0,0.25
WMLE,0.4851583158752934,cell,0,15.0,5.0,0.25
WMLE,0.3869686775840976,cell,0,20.0,5.0,0.25
WMLE,0.6156267425293959,cell,0,7.0,5.0,0.5
WMLE,0.5238430469766623,cell,0,10.0,5.0,0.5
WMLE,0.46618202230465183,cell,0,15.0,5.0,0.5
WMLE,0.4097254991789038,cell,0,20.0,5.0,0.5
WMLE,0.6449492249109154,cell,0,7.0,5.0,0.75
WMLE,0.5900861658531611,cell,0,10.0,5.0,0.75
WMLE,0.4923708827774808,cell,0,15.0,5.0,0.75
WMLE,0.4127451337004063,cell,0,20.0,5.0,0.75
WMLE,0.5721401923131093,cell,0,7.0,5.0,1.0
WMLE,0.5983991107785707,cell,0,10.0,5.0,1.0
WMLE,0.48201290715091133,cell,0,15.0,5.0,1.0
WMLE,0.4327834355067924,cell,0,20.0,5.0,1.0
WMLE,0.2813847448441816,cell,1,7.0,1.5,0.1
MDM-0.1,0.2112525353867721,cell,1,10.0,1.5,0.1
MDM-0.1,0.1399418857281324,cell,1,15.0,1.5,0.1
MDM-0.1,0.10582054921909724,cell,1,20.0,1.5,0.1
MDM-0.1,0.39301878231897863,cell,1,7.0,1.5,0.25
MDM-0.1,0.3158608062179669,cell,1,10.0,1.5,0.25
MDM-0.1,0.19264978329759916,cell,1,15.0,1.5,0.25
MDM-0.1,0.13459733792999978,cell,1,20.0,1.5,0.25
MDM-0.1,0.4510923719696516,cell,1,7.0,1.5,0.5
MDM-0.1,0.3483203027186625,cell,1,10.0,1.5,0.5
MDM-0.1,0.21967308560119583,cell,1,15.0,1.5,0.5
MDM-0.1,0.15403522451910318,cell,1,20.0,1.5,0.5
MDM-0.1,0.9230466085863137,cell,1,7.0,1.5,0.75
MDM-0.1,0.3554700809184222,cell,1,10.0,1.5,0.75
MDM-0.1,0.2321102692007626,cell,1,15.0,1.5,0.75
MDM-0.1,0.16905639304055717,cell,1,20.0,1.5,0.75
MDM-0.1,0.5293785288932897,cell,1,7.0,1.5,1.0
MDM-0.1,0.3367564895899221,cell,1,10.0,1.5,1.0
MDM-0.1,0.2715091132946955,cell,1,15.0,1.5,1.0
MDM-0.1,0.1490403388311413,cell,1,20.0,1.5,1.0
WMLE,0.23998268044306378,cell,1,7.0,2.0,0.1
WMLE,0.16613621832161027,cell,1,10.0,2.0,0.1
WMLE,0.12842861830950206,cell,1,15.0,2.0,0.1
WMLE,0.09562153286693426,cell,1,20.0,2.0,0.1
WMLE,0.4239772652462467,cell,1,7.0,2.0,0.25
WMLE,0.25743426400079883,cell,1,10.0,2.0,0.25
MDM-0.1,0.19986052092346213,cell,1,15.0,2.0,0.25
MDM-0.1,0.15156555700464364,cell,1,20.0,2.0,0.25
MDM-0.1,0.556875579114681,cell,1,7.0,2.0,0.5
MDM-0.1,0.330984672799755,cell,1,10.0,2.0,0.5
MDM-0.1,0.214285222660516,cell,1,15.0,2.0,0.5
MDM-0.1,0.16584042929409354,cell,1,20.0,2.0,0.5
MDM-0.1,0.45836380278022376,cell,1,7.0,2.0,0.75
MDM-0.1,0.3060902145511128,cell,1,10.0,2.0,0.75
MDM-0.1,0.24839828386152835,cell,1,15.0,2.0,0.75
MDM-0.1,0.16388436526662903,cell,1,20.0,2.0,0.75
MDM-0.1,0.4439925537159512,cell,1,7.0,2.0,1.0
MDM-0.1,0.2779505970320344,cell,1,10.0,2.0,1.0
MDM-0.1,0.23016348197528094,cell,1,15.0,2.0,1.0
MDM-0.1,0.1748605839835728,cell,1,20.0,2.0,1.0
WMLE,0.20347148323064962,cell,1,7.0,2.5,0.1
WMLE,0.146057095141527,cell,1,10.0,2.5,0.1
WMLE,0.1404915808597717,cell,1,15.0,2.5,0.1
WMLE,0.1063472248791658,cell,1,20.0,2.5,0.1
WMLE,0.2943981486767187,cell,1,7.0,2.5,0.25
WMLE,0.26576514960276565,cell,1,10.0,2.5,0.25
MDM-0.1,0.2126250538591311,cell,1,15.0,2.5,0.25
MDM-0.1,0.16648155796551506,cell,1,20.0,2.5,0.25
MDM-0.1,0.38094246240713364,cell,1,7.0,2.5,0.5
MDM-0.1,0.3283091543882276,cell,1,10.0,2.5,0.5
MDM-0.1,0.22800158666878417,cell,1,15.0,2.5,0.5
MDM-0.1,0.16501594390255805,cell,1,20.0,2.5,0.5
MDM-0.1,0.4138011932532385,cell,1,7.0,2.5,0.75
MDM-0.1,0.33061436659817833,cell,1,10.0,2.5,0.75
MDM-0.1,0.2176185075085262,cell,1,15.0,2.5,0.75
MDM-0.1,0.17128850764632444,cell,1,20.0,2.5,0.75
MDM-0.1,0.3953258353034981,cell,1,7.0,2.5,1.0
MDM-0.1,0.3245369237205589,cell,1,10.0,2.5,1.0
MDM-0.1,0.2253016584561284,cell,1,15.0,2.5,1.0
