beta,n,gamma_eta,rep,method,loss_i
1.5,7,0.1,35,oracle,0.16966640851177772
1.5,7,0.1,35,mdm0,0.15951044953577778
1.5,7,0.1,35,dual,0.15478841149844444
1.5,7,0.1,35,lmom,0.20740082499911117
1.5,7,0.1,35,wmle,0.16811146545111116
1.5,7,0.1,36,oracle,0.8201171128734446
1.5,7,0.1,36,mdm0,0.8201171128734446
1.5,7,0.1,36,dual,0.8201171128734446
1.5,7,0.1,36,lmom,0.8201171128734446
1.5,7,0.1,36,wmle,0.8166044378654445
1.5,7,0.1,37,oracle,0.11999521497877777
1.5,7,0.1,37,mdm0,0.11999521497877777
1.5,7,0.1,37,dual,0.11999521497877777
1.5,7,0.1,37,lmom,0.10406987196011114
1.5,7,0.1,37,wmle,0.11999521497877777
1.5,7,0.1,38,oracle,0.030334108240999972
1.5,7,0.1,38,mdm0,0.029571131112000004
1.5,7,0.1,38,dual,0.030334108240999972
1.5,7,0.1,38,lmom,0.030334108240999972
1.5,7,0.1,38,wmle,0.030334108240999972
1.5,7,0.1,39,oracle,0.3178709385384445
1.5,7,0.1,39,mdm0,0.3178709385384445
1.5,7,0.1,39,dual,0.3178709385384445
1.5,7,0.1,39,lmom,0.3178709385384445
1.5,7,0.1,39,wmle,0.3178709385384445
1.5,7,0.1,40,oracle,0.47418721787244444
1.5,7,0.1,40,mdm0,0.6138756546004444
1.5,7,0.1,40,dual,0.3287368843651111
1.5,7,0.1,40,wmle,0.47418721787244444
1.5,7,0.1,41,oracle,0.5514732762187776
1.5,7,0.1,41,mdm0,2.8609262641320004
1.5,7,0.1,41,dual,2.403578932581111
1.5,7,0.1,41,wmle,1.3993308969441114
1.5,7,0.1,42,oracle,0.3462575044951111
1.5,7,0.1,42,mdm0,0.7760780426684444
1.5,7,0.1,42,dual,0.5434541281307779
1.5,7,0.1,42,wmle,0.4424800812877778
1.5,7,0.1,43,oracle,0.389940259897
1.5,7,0.1,43,mdm0,0.6783201708019997
1.5,7,0.1,43,dual,0.6783201708019997
1.5,7,0.1,43,wmle,0.45672162591844434
1.5,7,0.1,44,oracle,0.44124070417577776
1.5,7,0.1,44,mdm0,1.9567373972599997
1.5,7,0.1,44,dual,1.2559967726991113
1.5,7,0.1,44,wmle,0.644051327108
1.5,7,0.1,45,oracle,0.14357345177211112
1.5,7,0.1,45,mdm0,0.14357345177211112
1.5,7,0.1,45,dual,0.14357345177211112
1.5,7,0.1,45,lmom,0.14357345177211112
1.5,7,0.1,45,wmle,0.14357345177211112
1.5,7,0.1,46,oracle,0.5417672829799999
1.5,7,0.1,46,mdm0,0.5417672829799999
1.5,7,0.1,46,dual,0.5417672829799999
1.5,7,0.1,46,wmle,0.5417672829799999
1.5,7,0.1,47,oracle,0.09730695500600002
1.5,7,0.1,47,mdm0,0.09730695500600002
1.5,7,0.1,47,dual,0.09730695500600002
1.5,7,0.1,47,lmom,0.09730695500600002
1.5,7,0.1,47,wmle,0.09730695500600002
1.5,7,0.1,48,oracle,0.01252114781911111
1.5,7,0.1,48,mdm0,0.01252114781911111
1.5,7,0.1,48,dual,0.01252114781911111
1.5,7,0.1,48,lmom,0.01252114781911111
1.5,7,0.1,48,wmle,0.01252114781911111
1.5,7,0.1,49,oracle,0.026316864812999996
1.5,7,0.1,49,mdm0,0.026316864812999996
1.5,7,0.1,49,dual,0.026316864812999996
1.5,7,0.1,49,lmom,0.026316864812999996
1.5,7,0.1,49,wmle,0.026316864812999996
1.5,7,0.1,50,oracle,0.24545949856277774
1.5,7,0.1,50,mdm0,0.24545949856277774
1.5,7,0.1,50,dual,0.24545949856277774
1.5,7,0.1,50,lmom,0.24545949856277774
1.5,7,0.1,50,wmle,0.24545949856277774
1.5,7,0.1,51,oracle,0.05079769445600001
1.5,7,0.1,51,mdm0,0.05079769445600001
1.5,7,0.1,51,dual,0.05079769445600001
1.5,7,0.1,51,wmle,0.05079769445600001
1.5,7,0.1,52,oracle,0.15846249938711116
1.5,7,0.1,52,mdm0,0.11166148174277776
1.5,7,0.1,52,dual,0.14776222147877782
1.5,7,0.1,52,lmom,0.15846249938711116
1.5,7,0.1,52,wmle,0.13643145092644446
1.5,7,0.1,53,oracle,0.062556111897
1.5,7,0.1,53,mdm0,0.04821765434677777
1.5,7,0.1,53,dual,0.05261205593344445
1.5,7,0.1,53,lmom,0.05566286388044446
1.5,7,0.1,53,wmle,0.048793542536111095
1.5,7,0.1,54,oracle,1.0197248924764446
1.5,7,0.1,54,mdm0,1.0197248924764446
1.5,7,0.1,54,dual,1.0197248924764446
1.5,7,0.1,54,lmom,1.0197248924764446
1.5,7,0.1,54,wmle,1.0197248924764446
1.5,7,0.1,55,oracle,0.23640920509200003
1.5,7,0.1,55,mdm0,0.23640920509200003
1.5,7,0.1,55,dual,0.23640920509200003
1.5,7,0.1,55,lmom,0.23640920509200003
1.5,7,0.1,55,wmle,0.231728475762
1.5,7,0.1,56,oracle,0.2529613864011112
1.5,7,0.1,56,mdm0,0.2660062731671112
1.5,7,0.1,56,dual,0.2660062731671112
1.5,7,0.1,56,wmle,0.2660062731671112
1.5,7,0.1,57,oracle,0.2703719827600001
1.5,7,0.1,57,mdm0,1.165120080221
1.5,7,0.1,57,dual,1.165120080221
1.5,7,0.1,57,wmle,1.165120080221
1.5,7,0.1,58,oracle,0.8317328507217778
1.5,7,0.1,58,mdm0,0.8317328507217778
1.5,7,0.1,58,dual,0.8317328507217778
1.5,7,0.1,58,lmom,0.8317328507217778
1.5,7,0.1,58,wmle,0.831667555076
1.5,7,0.1,59,oracle,0.0691712902321111
1.5,7,0.1,59,mdm0,0.0691712902321111
1.5,7,0.1,59,dual,0.0691712902321111
1.5,7,0.1,59,lmom,0.0691712902321111
1.5,7,0.1,59,wmle,0.0691712902321111
1.5,7,0.1,60,oracle,0.05478925159511111
1.5,7,0.1,60,mdm0,0.05478925159511111
1.5,7,0.1,60,dual,0.05478925159511111
1.5,7,0.1,60,lmom,0.05478925159511111
1.5,7,0.1,60,wmle,0.05478925159511111
1.5,7,0.1,61,oracle,0.3011523517951111
1.5,7,0.1,61,mdm0,0.3011523517951111
1.5,7,0.1,61,dual,0.3011523517951111
1.5,7,0.1,61,lmom,0.3011523517951111
1.5,7,0.1,61,wmle,0.3011523517951111
1.5,7,0.1,62,oracle,0.10244799010500003
1.5,7,0.1,62,mdm0,0.10244799010500003
1.5,7,0.1,62,dual,0.10244799010500003
1.5,7,0.1,62,lmom,0.10244799010500003
1.5,7,0.1,62,wmle,0.10244799010500003
1.5,7,0.1,63,oracle,0.7562015268170001
1.5,7,0.1,63,mdm0,0.7562015268170001
1.5,7,0.1,63,dual,0.7562015268170001
1.5,7,0.1,63,lmom,0.7562015268170001
1.5,7,0.1,63,wmle,0.7562015268170001
1.5,7,0.1,64,oracle,0.030404009364000013
1.5,7,0.1,64,mdm0,0.030404009364000013
1.5,7,0.1,64,dual,0.030404009364000013
1.5,7,0.1,64,wmle,0.030404009364000013
1.5,7,0.1,65,oracle,0.131541534081
1.5,7,0.1,65,mdm0,0.131541534081
1.5,7,0.1,65,dual,0.131541534081
1.5,7,0.1,65,lmom,0.131541534081
1.5,7,0.1,65,wmle,0.131541534081
1.5,7,0.1,66,oracle,0.11906705769211107
1.5,7,0.1,66,mdm0,0.11906705769211107
1.5,7,0.1,66,dual,0.11906705769211107
1.5,7,0.1,66,lmom,0.11906705769211107
1.5,7,0.1,66,wmle,0.11906705769211107
1.5,7,0.1,67,oracle,0.15302762046000004
1.5,7,0.1,67,mdm0,0.15302762046000004
1.5,7,0.1,67,dual,0.15302762046000004
1.5,7,0.1,67,lmom,0.149540833956
1.5,7,0.1,67,wmle,0.11803542917399999
1.5,7,0.1,68,oracle,0.19754798426511114
1.5,7,0.1,68,mdm0,0.19754798426511114
1.5,7,0.1,68,dual,0.19754798426511114
1.5,7,0.1,68,lmom,0.19754798426511114
1.5,7,0.1,68,wmle,0.19754798426511114
1.5,7,0.1,69,oracle,0.4929173351814444
1.5,7,0.1,69,mdm0,0.4929173351814444
1.5,7,0.1,69,dual,0.4929173351814444
1.5,7,0.1,69,lmom,0.4929173351814444
1.5,7,0.1,69,wmle,0.482416458497
1.5,7,0.1,70,oracle,0.4153721522917777
1.5,7,0.1,70,mdm0,0.4504637120357776
1.5,7,0.1,70,dual,0.4504637120357776
1.5,7,0.1,70,lmom,0.5317090931519999
1.5,7,0.1,70,wmle,0.43184216923911095
1.5,7,0.1,71,oracle,0.16131539077344445
1.5,7,0.1,71,mdm0,0.6209673619214442
1.5,7,0.1,71,dual,0.6209673619214442
1.5,7,0.1,71,wmle,0.4100768523259998
1.5,7,0.1,72,oracle,0.24025567246399998
1.5,7,0.1,72,mdm0,0.24025567246399998
1.5,7,0.1,72,dual,0.24025567246399998
1.5,7,0.1,72,wmle,0.24025567246399998
1.5,7,0.1,73,oracle,0.933623440065
1.5,7,0.1,73,mdm0,0.933623440065
1.5,7,0.1,73,dual,0.933623440065
1.5,7,0.1,73,lmom,0.933623440065
1.5,7,0.1,73,wmle,0.933623440065
1.5,7,0.1,74,oracle,0.09077906641644451
1.5,7,0.1,74,mdm0,0.09077906641644451
1.5,7,0.1,74,dual,0.09077906641644451
1.5,7,0.1,74,wmle,0.09077906641644451
1.5,7,0.1,75,oracle,0.29846127452277776
1.5,7,0.1,75,mdm0,0.29846127452277776
1.5,7,0.1,75,dual,0.29846127452277776
1.5,7,0.1,75,lmom,0.29846127452277776
1.5,7,0.1,75,wmle,0.29846127452277776
1.5,7,0.1,76,oracle,0.10635224600311109
1.5,7,0.1,76,mdm0,0.08535406493299996
1.5,7,0.1,76,dual,0.09750999977111108
1.5,7,0.1,76,lmom,0.0809101284377778
1.5,7,0.1,76,wmle,0.10635224600311109
1.5,7,0.1,77,oracle,0.09798304312100002
1.5,7,0.1,77,mdm0,0.09798304312100002
1.5,7,0.1,77,dual,0.09798304312100002
1.5,7,0.1,77,lmom,0.09798304312100002
1.5,7,0.1,77,wmle,0.08192166709400003
1.5,7,0.1,78,oracle,0.04870995668511112
1.5,7,0.1,78,mdm0,0.016460209338777766
1.5,7,0.1,78,dual,0.019837921408111102
1.5,7,0.1,78,lmom,0.016460209338777766
1.5,7,0.1,78,wmle,0.016460209338777766
1.5,7,0.1,79,oracle,0.3020077844094444
1.5,7,0.1,79,mdm0,0.28214213960100004
1.5,7,0.1,79,dual,0.2923469454619999
1.5,7,0.1,79,wmle,0.259908498941
1.5,7,0.1,80,oracle,0.3567874613570001
1.5,7,0.1,80,mdm0,0.3567874613570001
1.5,7,0.1,80,dual,0.3567874613570001
1.5,7,0.1,80,lmom,0.3567874613570001
1.5,7,0.1,80,wmle,0.3567874613570001
