beta,n,gamma_eta,method,jparam,n_valid
5.0,7,0.1,oracle,0.7441419250734588,500
5.0,7,0.1,lmom,,0
5.0,7,0.1,wmle,0.9054011035197522,500
5.0,7,0.1,mdm0,0.7874011892211356,500
5.0,7,0.1,dual,0.8771447879227184,500
5.0,7,0.5,oracle,0.8196004970405765,500
5.0,7,0.5,lmom,,0
5.0,7,0.5,wmle,0.9489537503374912,500
5.0,7,0.5,mdm0,0.8543765028910194,500
5.0,7,0.5,dual,0.9217311374196565,500
5.0,7,1.0,oracle,0.866727349376259,500
5.0,7,1.0,lmom,,0
5.0,7,1.0,wmle,0.9754181211055122,500
5.0,7,1.0,mdm0,0.9010925448125459,500
5.0,7,1.0,dual,0.9656891645291991,500
5.0,10,0.1,oracle,0.7244248554874017,500
5.0,10,0.1,lmom,,0
5.0,10,0.1,wmle,0.8367053753674331,500
5.0,10,0.1,mdm0,0.7532517629954945,500
5.0,10,0.1,dual,0.8042201306990995,500
5.0,10,0.5,oracle,0.7319295228341679,500
5.0,10,0.5,lmom,,0
5.0,10,0.5,wmle,0.8374997791247735,500
5.0,10,0.5,mdm0,0.7565480494796318,500
5.0,10,0.5,dual,0.8035207902051725,500
5.0,10,1.0,oracle,0.7114672262459959,500
5.0,10,1.0,lmom,,0
5.0,10,1.0,wmle,0.825233866453813,500
5.0,10,1.0,mdm0,0.7355147142246267,500
5.0,10,1.0,dual,0.7875487788180072,500
5.0,20,0.1,oracle,0.5059070371535979,500
5.0,20,0.1,lmom,,0
5.0,20,0.1,wmle,0.6772616206178045,500
5.0,20,0.1,mdm0,0.593490683786448,500
5.0,20,0.1,dual,0.665390214826378,500
5.0,20,0.5,oracle,0.8229745395439872,500
5.0,20,0.5,lmom,,0
5.0,20,0.5,wmle,0.8269363599663216,499
5.0,20,0.5,mdm0,0.8733073126890535,499
5.0,20,0.5,dual,0.8034509065811998,499
5.0,20,1.0,oracle,1.3636586394399886,500
5.0,20,1.0,lmom,,0
5.0,20,1.0,wmle,1.135953796978029,500
5.0,20,1.0,mdm0,1.3966705196705247,500
5.0,20,1.0,dual,1.1419555213321038,500
