contract,script_sha256,target,n,fold,seed,train_rows,test_rows,n_iter,runtime_s
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,1,3407,9600,2400,32,3.1287999153137207
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,2,42,9600,2400,34,3.5774734020233154
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,2,2026,9600,2400,33,3.3533551692962646
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,2,3407,9600,2400,31,3.0344653129577637
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,3,42,9600,2400,28,2.9407782554626465
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,3,2026,9600,2400,29,3.046246290206909
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,3,3407,9600,2400,31,3.226088523864746
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,4,42,9600,2400,35,3.6927075386047363
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,4,2026,9600,2400,29,5.151136159896851
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,4,3407,9600,2400,32,6.200113773345947
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,5,42,9600,2400,33,3.492436170578003
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,5,2026,9600,2400,42,4.420105218887329
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,20,5,3407,9600,2400,33,3.4881954193115234
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,1,42,9600,2400,42,4.000590801239014
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,1,2026,9600,2400,29,2.72721266746521
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,1,3407,9600,2400,33,3.2876243591308594
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,2,42,9600,2400,30,2.956847906112671
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,2,2026,9600,2400,31,3.053452730178833
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,2,3407,9600,2400,36,3.5531399250030518
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,3,42,9600,2400,45,4.386554956436157
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,3,2026,9600,2400,59,5.54086446762085
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,3,3407,9600,2400,64,6.084179401397705
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,4,42,9600,2400,50,4.864583253860474
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,4,2026,9600,2400,33,3.439578056335449
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,4,3407,9600,2400,36,3.43241286277771
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,5,42,9600,2400,66,7.258283376693726
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,5,2026,9600,2400,53,4.923337459564209
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,7,5,3407,9600,2400,35,3.4585671424865723
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,1,42,9600,2400,61,6.4734787940979
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,1,2026,9600,2400,70,12.236517429351807
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,1,3407,9600,2400,67,11.594867467880249
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,2,42,9600,2400,80,9.161941051483154
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,2,2026,9600,2400,69,8.175374507904053
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,2,3407,9600,2400,58,6.245677709579468
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,3,42,9600,2400,48,4.891793727874756
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,3,2026,9600,2400,53,5.784395456314087
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,3,3407,9600,2400,73,7.301311492919922
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,4,42,9600,2400,47,4.820380210876465
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,4,2026,9600,2400,69,9.42274785041809
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,4,3407,9600,2400,54,5.991672515869141
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,5,42,9600,2400,55,5.424440622329712
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,5,2026,9600,2400,52,5.587415933609009
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,10,5,3407,9600,2400,58,5.736935138702393
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,1,42,9600,2400,39,4.080636024475098
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,1,2026,9600,2400,53,6.151958227157593
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,1,3407,9600,2400,39,3.7978501319885254
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,2,42,9600,2400,45,4.6900670528411865
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,2,2026,9600,2400,53,8.648809671401978
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,2,3407,9600,2400,42,7.518784999847412
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,3,42,9600,2400,53,9.210678100585938
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,3,2026,9600,2400,53,9.361091613769531
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,3,3407,9600,2400,54,8.331350803375244
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,4,42,9600,2400,36,3.7480790615081787
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,4,2026,9600,2400,39,3.796921968460083
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,4,3407,9600,2400,46,5.751821041107178
