beta,gamma_eta_ratio,eta,gamma,n,repeat_id,primary_class,high_has_root,low_geom_has_root,low_uniform_has_root,grid_gradient_has_root,min_abs_g_minus_offset,g_min,g_max,boundary_fraction,multipeak_fraction,beta_unstable,gradient_noise_suspect
1.5,0.0,1000.0,0.0,10,14,strict_root,True,True,True,True,0.019678278533223584,-0.13943333759748242,5.6045939087933165,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,15,strict_root,True,True,True,True,0.006103505614837135,-0.02972773493284105,2.091186562763283,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,16,all_above_offset,False,False,False,False,3.04794228803764,3.14794228803764,3.922611281955705,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,17,all_above_offset,False,False,False,False,0.012886096030961802,0.11288609603096181,3.736425624160961,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,18,coarse_uniform_miss,True,False,False,False,0.0017593860229104114,0.07209263200428402,7.816337474038627,0.0,0.0,False,True
1.5,0.0,1000.0,0.0,10,19,all_above_offset,False,False,False,False,0.9940749579341986,1.0940749579341986,1.4656412890089305,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,0,strict_root,True,True,True,True,0.029420968157524652,-0.5088748319067937,6.437440197059858,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,1,strict_root,True,True,True,True,0.02258100654418381,-0.056329701882632525,1.5512725954652768,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,2,strict_root,True,True,True,True,0.022073232705279,-0.14280110303804547,5.745834582876692,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,3,all_above_offset,False,False,False,False,0.7044705045863626,0.8044705045863626,0.9778543041849039,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,4,all_above_offset,False,False,False,False,0.6931513122297229,0.7931513122297229,1.2333341071451414,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,5,all_above_offset,False,False,False,False,0.15138728254047965,0.25138728254047965,1.8555786045561784,0.0,0.0,False,False
