n,fold,seed,p_rms_actual,q_rms_actual,delta_rms_actual,p_rms_proj,q_rms_proj,delta_rms_proj,p_rms_rem,q_rms_rem,delta_rms_rem,p_mean_align,q_mean_align,delta_mean_align,p_mean_cancel,q_mean_cancel,delta_mean_cancel,p_mean_cancel_exact,q_mean_cancel_exact,delta_mean_cancel_exact,p_mean_s_norm,q_mean_s_norm,delta_mean_s_norm,p_rms_u_par,q_rms_u_par,delta_rms_u_par,p_rms_u_perp,q_rms_u_perp,delta_rms_u_perp,p_rms_u_beta,q_rms_u_beta,delta_rms_u_beta,p_rms_u_eta,q_rms_u_eta,delta_rms_u_eta,p_rms_u_gamma,q_rms_u_gamma,delta_rms_u_gamma,p_n_boundary,q_n_boundary,delta_n_boundary,p_corr_proj_actual,q_corr_proj_actual,delta_corr_proj_actual,p_identity_max_abs_err,q_identity_max_abs_err,delta_identity_max_abs_err
7,4,3407,0.2090283632823357,0.20286020634046473,-0.006168156941870978,0.20948999441202248,1.9539923947321176,1.744502400320095,0.02421648671751294,1.9398381425359272,1.9156216558184143,0.4027857018106132,0.1838916584066262,-0.218894043403987,0.37287880228248194,0.6320886589205298,0.25920985663804785,0.36451611385921817,0.8682993658188206,0.5037832519596024,1.5257889981791588,1.5257889981791588,0.0,0.11397085796030909,0.7216829864160772,0.607712128455768,0.2696447363306845,2.6195631871379503,2.349918450807266,0.2693002779342149,2.509220766235973,2.239920488301758,0.03191192840757491,0.9812994389111577,0.9493875105035827,0.11025710600645078,0.3518525000246104,0.2415953940181596,0,0,0,0.9953405961652799,0.26562410769350847,-0.7297164884717715,9.735001549326938e-08,1.2764422896438532e-07,3.029421347111594e-08
7,5,42,0.20625488214252075,0.2020339906948558,-0.004220891447664937,0.20393911847289645,1.9383877102350224,1.734448591762126,0.022260079752505657,1.9235732244951855,1.9013131447426799,0.41443046234820924,0.18816686952104314,-0.2262635928271661,0.34883490232520964,0.6235676064331911,0.27473270410798145,0.34075000437340563,0.8739242738128189,0.5331742694394133,1.5257889981791588,1.5257889981791588,0.0,0.11521086349338588,0.7541268929733187,0.6389160294799328,0.2655975102197737,2.717127305467876,2.4515297952481023,0.2655467365726981,2.6183408093009906,2.3527940727282926,0.032966203319783574,0.9823776255794072,0.9494114222596236,0.11051579360481988,0.3615435961743925,0.25102780256957263,0,0,0,0.9960938394715155,0.23989321395496369,-0.7562006255165519,1.2150107853159398e-07,1.2178793884487504e-07,2.8686031328106765e-10
7,5,2026,0.20541110769955823,0.20014147084004552,-0.005269636859512705,0.20128547653088244,2.124894147114584,1.9236086705837014,0.023535646881249827,2.1141475237901073,2.0906118769088575,0.4189072354373406,0.19218141381713857,-0.22672582162020202,0.33286164704386856,0.6096876039916453,0.2768259569477768,0.32484714331402387,0.8734187458742768,0.548571602560253,1.5257889981791588,1.5257889981791588,0.0,0.11568533768768395,0.8152047592312882,0.6995194215436042,0.26347715250025106,2.920976290187038,2.657499137686787,0.26504211240995224,2.847569419987323,2.582527307577371,0.017548063884462544,0.981118585102644,0.9635705212181815,0.11067091464667254,0.354141225540629,0.24347031089395643,0,0,0,0.9956617188144796,0.2407709824169527,-0.7548907363975269,1.5465075842158171e-07,1.1173549907539382e-07,-4.2915259346187895e-08
7,5,3407,0.20602709958473744,0.2006364637571214,-0.005390635827616036,0.20359642353397908,1.9020282110086422,1.698431787474663,0.023032954950773666,1.8906923505268023,1.8676593955760286,0.41198330969177865,0.17720563566115763,-0.23477767403062103,0.33193244307396164,0.645583867040394,0.3136514239664324,0.3250270857113869,0.8638156773778364,0.5387885916664494,1.5257889981791588,1.5257889981791588,0.0,0.11274237828579517,0.7055029870792497,0.5927606087934546,0.2634916066395786,2.579842908276587,2.3163513016370083,0.2646732730147201,2.4621047823775055,2.1974315093627856,0.010542069340341607,0.9832502112470893,0.9727081419067477,0.10943305696517223,0.35296311257568036,0.2435300556105081,0,0,0,0.99586540199816,0.24082891944674803,-0.755036482551412,1.2083054867773058e-07,1.0864823396516954e-07,-1.2182314712561038e-08
10,1,42,0.17566249090114533,0.16717831957267987,-0.008484171328465462,0.17458714669709274,5.288530739679648,5.113943592982555,0.01760638062139164,5.272373450908463,5.2547670702870715,0.40787246399851,0.2679418982412858,-0.13993056575722423,0.37657873717400925,0.36973543026670264,-0.006843306907306612,0.3701698690860144,0.9150345627488786,0.5448646936628643,1.5257889981791588,1.5257889981791588,0.0,0.09317069038518232,1.9475076711060424,1.85433698072086,0.21583648529866326,6.567465408186312,6.351628922887649,0.21533971012134542,6.776311172022658,6.560971461901313,0.01882819200900058,0.9466970727055302,0.9278688806965296,0.0924146869467117,0.3312998176763365,0.23888513072962478,0,0,0,0.9964858147291727,0.27157564804441897,-0.7249101666847537,1.0309274145470226e-07,8.523999917020575e-08,-1.7852742284496514e-08
10,1,2026,0.17848753931419917,0.16685898680858563,-0.011628552505613537,0.17709790704972878,5.03348283872354,4.856384931673811,0.017604663149625093,5.0186734808888325,5.001068817739207,0.4033207553153764,0.2717209006711072,-0.1315998546442692,0.36579845763116886,0.35650983759408356,-0.009288620037085304,0.3588601774129468,0.9153970638170934,0.5565368864041467,1.5257889981791588,1.5257889981791588,0.0,0.09304949923685112,1.9117088626766463,1.8186593634397952,0.2172073790830176,6.428676413297741,6.211469034214724,0.21685819467651626,6.6317497215894265,6.4148915269129105,0.019946365218995534,0.9449963175909656,0.9250499523719701,0.09171652387947922,0.33073976547313577,0.23902324159365657,0,0,0,0.9966234655439247,0.26779426978331533,-0.7288291957606093,9.110130494427437e-08,9.256702382387516e-08,1.4657188796007858e-09
10,1,3407,0.18103892416081363,0.16709673182122461,-0.013942192339589016,0.18137608535410232,5.656483663496087,5.4751075781419845,0.016888716685495228,5.643663155555048,5.626774438869552,0.39895679122175526,0.27102641716646614,-0.12793037405528912,0.38381036744435454,0.3489247195703803,-0.034885647873974246,0.377599365327257,0.9137781990512455,0.5361788337239884,1.5257889981791588,1.5257889981791588,0.0,0.09354198263910149,2.107093786585458,2.0135518039463567,0.21836706259284439,7.110135722337565,6.891768659744721,0.2165458006562794,7.348736995249208,7.132191194592929,0.03202123178074814,0.941012498291769,0.9089912665110209,0.09228669175377185,0.3231629128506204,0.23087622109684852,0,0,0,0.9969584063283105,0.2699586919799272,-0.7269997143483833,1.4030362438521848e-07,1.0478117662415798e-07,-3.5522447761060505e-08
10,2,42,0.17566534607815865,0.16957505072423223,-0.0060902953539264115,0.17370785058946647,4.938894630354068,4.765186779764601,0.01890266439447676,4.927746767264917,4.90884410287044,0.4134520917406623,0.2603556993701087,-0.15309639237055356,0.3505194487660789,0.40813252686857826,0.05761307810249938,0.3441854627922879,0.9127485469877805,0.5685630841954926,1.5257889981791588,1.5257889981791588,0.0,0.0995251526352199,1.766605089827403,1.6670799371921832,0.2250015216824404,5.976081337548586,5.751079815866146,0.2266005521354219,6.148744739207097,5.922144187071675,0.028438827502516948,0.9531229933486141,0.9246841658460971,0.09151154915463686,0.34487155293501537,0.2533600037803785,0,0,0,0.9958196017063455,0.1917382915386042,-0.8040813101677413,9.224124597473349e-08,9.001008616227324e-08,-2.2311598124602483e-09
10,2,2026,0.17475969165957042,0.1692985896422619,-0.005461102017308511,0.17321318078603049,5.553192937910023,5.3799797571239925,0.018914035375556495,5.544969074510073,5.5260550391345165,0.4117590500983676,0.2749758878670896,-0.136783162231278,0.3466464839782275,0.33839709051649286,-0.008249393461734644,0.34109682679890074,0.9134737176764556,0.5723768908775548,1.5257889981791588,1.5257889981791588,0.0,0.09813660472930093,2.1138126737732397,2.0156760690439386,0.2238921853729044,7.113153745436319,6.889261560063415,0.22585087451149496,7.352591809602419,7.1267409350909245,0.017907420537249936,0.9458613371859154,0.9279539166486654,0.09181073265661845,0.3315120483532939,0.23970131569667547,0,0,0,0.995803966444553,0.2112283725738099,-0.7845755938707432,9.309378590227624e-08,1.0066874778225099e-07,7.574961879974751e-09
10,2,3407,0.1753806394669005,0.1683616788886656,-0.007018960578234895,0.17278039825541947,5.946392784489716,5.773612386234297,0.01884305702996585,5.935749298223214,5.916906241193248,0.4106362331023164,0.2731253950582612,-0.13751083804405517,0.3461715370753888,0.3479645762568642,0.001793039181475442,0.33958545774189425,0.9151528290218341,0.5755673712799398,1.5257889981791588,1.5257889981791588,0.0,0.09924763274144482,2.198592840763974,2.0993452080225294,0.2240683033699198,7.423205637828691,7.19913733445877,0.2256509024166006,7.677288176270917,7.451637273854316,0.027434269953490163,0.9403246069148402,0.91289033696135,0.09157362202374623,0.33589926030208744,0.2443256382783412,0,0,0,0.995881742128383,0.19910294246158747,-0.7967787996667955,9.553349220037255e-08,7.965534520870676e-08,-1.5878146991665787e-08
